sample.id	culture.condition	animal	culture.media	preservation.media	growth.condition	cfuml.conc
Kohl.Grounhog.KPM.R001	Aerobic	GH 1	MH	Immediately cultured	plate	655555556
Kohl.Grounhog.KPM.R002	Aerobic	GH 1	MH	Immediately cultured	plate	655555556
Kohl.Grounhog.KPM.R003	Aerobic	GH 1	GMM	Immediately cultured	plate	1283333333
Kohl.Grounhog.KPM.R004	Aerobic	GH 1	GMM	Immediately cultured	plate	1516666667
Kohl.Grounhog.KPM.R005	Aerobic	GH 1	GMM	Immediately cultured	plate	157222222
Kohl.Grounhog.KPM.R006	Aerobic	GH 1	GMM	Immediately cultured	plate	1572222222
Kohl.Grounhog.KPM.R007	Aerobic	GH 1	MH	Immediately cultured	plate	158333333
Kohl.Grounhog.KPM.R008	Aerobic	GH 1	MH	Immediately cultured	plate	414444444
Kohl.Grounhog.KPM.R009	Aerobic	GH 1	MH	Immediately cultured	plate	467777778
Kohl.Grounhog.KPM.R010	Anaerobic	GH 2	BHI	Immediately cultured	plate	2206250
Kohl.Grounhog.KPM.R011	Anaerobic	GH 2	MH	Immediately cultured	plate	224375000
Kohl.Grounhog.KPM.R012	Anaerobic	GH 2	MH	Immediately cultured	plate	224375000
Kohl.Grounhog.KPM.R013	Anaerobic	GH 2	BHI	Immediately cultured	plate	263125000
Kohl.Grounhog.KPM.R014	Anaerobic	GH 2	MH	Immediately cultured	plate	275000000
Kohl.Grounhog.KPM.R015	Anaerobic	GH 2	BHI	Immediately cultured	plate	351250000
Kohl.Grounhog.KPM.R016	Aerobic	GH 2	GMM	Immediately cultured	plate	246875000
Kohl.Grounhog.KPM.R017	Aerobic	GH 2	GMM	Immediately cultured	plate	273750000
Kohl.Grounhog.KPM.R018	Aerobic	GH 2	GMM	Immediately cultured	plate	310625000
Kohl.Grounhog.KPM.R019	Aerobic	GH 2	BHI	Immediately cultured	plate	54250000
Kohl.Grounhog.KPM.R020	Aerobic	GH 2	BHI	Immediately cultured	plate	585000000
Kohl.Grounhog.KPM.R021	Aerobic	GH 2	MH	Immediately cultured	plate	603750000
Kohl.Grounhog.KPM.R022	Anaerobic	GH 3	GMM	Immediately cultured	plate	721428571
Kohl.Grounhog.KPM.R023	Anaerobic	GH 3	GMM	Immediately cultured	plate	878571429
Kohl.Grounhog.KPM.R024	Anaerobic	GH 3	MH	Immediately cultured	plate	89285714
Kohl.Grounhog.KPM.R025	Anaerobic	GH 3	MH	Immediately cultured	plate	106428571
Kohl.Grounhog.KPM.R026	Anaerobic	GH 1	BHI	Buffered Glycerol 	plate	405882353
Kohl.Grounhog.KPM.R027	Anaerobic	GH 1	BHI	Buffered Glycerol 	plate	405882353
