	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G004	Kohl-LQ-Groundhog-KPM-G005	Kohl-LQ-Groundhog-KPM-G006	Kohl-LQ-Groundhog-KPM-G007	Kohl-LQ-Groundhog-KPM-G008	Kohl-LQ-Groundhog-KPM-G009	Kohl-LQ-Groundhog-KPM-G010	Kohl-LQ-Groundhog-KPM-G011	Kohl-LQ-Groundhog-KPM-G021	Kohl-LQ-Groundhog-KPM-G022	Kohl-LQ-Groundhog-KPM-G023	Kohl-LQ-Groundhog-KPM-G025	Kohl-LQ-Groundhog-KPM-G026	Kohl-LQ-Groundhog-KPM-G027	Kohl-LQ-Groundhog-KPM-G028	Kohl-LQ-Groundhog-KPM-G029	Kohl-LQ-Groundhog-KPM-G039	Kohl-LQ-Groundhog-KPM-G040	Kohl-LQ-Groundhog-KPM-G041	Kohl-LQ-Groundhog-KPM-G042	Kohl-LQ-Groundhog-KPM-G043	Kohl-LQ-Groundhog-KPM-G044	Kohl-LQ-Groundhog-KPM-G045	Kohl-LQ-Groundhog-KPM-G046	Kohl-LQ-Groundhog-KPM-G047	Kohl-LQ-Groundhog-KPM-G057	Kohl-LQ-Groundhog-KPM-G058	Kohl-LQ-Groundhog-KPM-G059	Kohl-LQ-Groundhog-KPM-G060	Kohl-LQ-Groundhog-KPM-G061	Kohl-LQ-Groundhog-KPM-G062	Kohl-LQ-Groundhog-KPM-G063	Kohl-LQ-Groundhog-KPM-G064	Kohl-LQ-Groundhog-KPM-G065	Kohl-LQ-Groundhog-KPM-G075	Kohl-LQ-Groundhog-KPM-G076	Kohl-LQ-Groundhog-KPM-G077	Kohl-LQ-Groundhog-KPM-G078	Kohl-LQ-Groundhog-KPM-G079	Kohl-LQ-Groundhog-KPM-G080	Kohl-LQ-Groundhog-KPM-G081	Kohl-LQ-Groundhog-KPM-G082	Kohl-LQ-Groundhog-KPM-G083	Kohl-LQ-Groundhog-KPM-G093	Kohl-LQ-Groundhog-KPM-G094	Kohl-LQ-Groundhog-KPM-G095	Kohl-LQ-Groundhog-KPM-G096	Kohl-LQ-Groundhog-KPM-G097	Kohl-LQ-Groundhog-KPM-G098	Kohl-LQ-Groundhog-KPM-G099	Kohl-LQ-Groundhog-KPM-G100	Kohl-LQ-Groundhog-KPM-G101
Kohl-LQ-Groundhog-KPM-G002	0	0.476344306	0.790098958	0.846218017	0.801841282	0.881977868	0.857434258	0.823546635	0.823052741	0.821629676	0.874150471	0.873526949	0.836289619	0.826232528	0.82372272	0.876956289	0.838399599	0.79505638	0.831449078	0.868788934	0.836255758	0.824268821	0.921217524	0.828293053	0.8034726	0.8480801	0.810245465	0.858072536	0.810914206	0.763846669	0.483108529	0.456065711	0.901250198	0.853629343	0.935882666	0.478373612	0.822524174	0.838680536	0.826069277	0.850728487	0.787069883	0.761019419	0.495182484	0.485105023	0.514048125	0.834993611	0.743740156	0.819383495	0.802770511	0.861185584	0.762283446	0.513509327	0.590109667	0.559538242
Kohl-LQ-Groundhog-KPM-G003	0.476344306	0	0.834378456	0.869146949	0.84856566	0.891689634	0.87225209	0.833651657	0.813489583	0.834965115	0.85850594	0.882731316	0.826437317	0.840757228	0.840479697	0.888471852	0.872255083	0.851061843	0.85925469	0.889369161	0.850919893	0.837220486	0.926145202	0.845407908	0.818818133	0.834675931	0.797611996	0.869430435	0.837532958	0.807030697	0.274420931	0.237082985	0.911434664	0.869125366	0.943254643	0.221633669	0.872534562	0.864548422	0.861730154	0.87773344	0.803008704	0.781412531	0.277707463	0.234614905	0.310299943	0.843288908	0.760085371	0.832638845	0.851316887	0.875336276	0.816773994	0.342105451	0.419995239	0.347633904
Kohl-LQ-Groundhog-KPM-G004	0.790098958	0.834378456	0	0.473793622	0.377439625	0.673471125	0.694959578	0.531136066	0.576183556	0.617221828	0.6595221	0.632272116	0.685968827	0.655331345	0.613084312	0.626633563	0.514244249	0.411953646	0.369026464	0.470625688	0.511334178	0.55333981	0.749566219	0.577860878	0.601354458	0.645419115	0.611232138	0.616635897	0.377302707	0.465496688	0.82227864	0.814698915	0.639403455	0.673632265	0.795490686	0.841758268	0.444875222	0.567526783	0.535478981	0.520926738	0.533313626	0.485319662	0.830119441	0.831315471	0.854748599	0.648456225	0.530814546	0.626660564	0.438579415	0.524925762	0.374519057	0.845957565	0.85297033	0.843004149
Kohl-LQ-Groundhog-KPM-G005	0.846218017	0.869146949	0.473793622	0	0.303950998	0.477759223	0.532088435	0.554207495	0.541990156	0.456043288	0.533566354	0.43852976	0.610889943	0.473678845	0.419703127	0.481441851	0.480773433	0.554113236	0.485432058	0.235542693	0.440970851	0.434060316	0.83246704	0.365886116	0.52684305	0.579304821	0.545922945	0.501190953	0.455921523	0.492677384	0.859357338	0.867590491	0.470373554	0.554475081	0.715046769	0.876503883	0.429853211	0.442129346	0.430895317	0.628491708	0.642579393	0.520029982	0.869064166	0.867637833	0.882231836	0.4773314	0.575616369	0.490553803	0.472886068	0.413964536	0.532624638	0.880707435	0.881007692	0.874569796
Kohl-LQ-Groundhog-KPM-G006	0.801841282	0.84856566	0.377439625	0.303950998	0	0.569598358	0.588576242	0.629442327	0.543491272	0.480266998	0.61283428	0.531316598	0.648897704	0.53490867	0.477236045	0.560781077	0.402356336	0.496038747	0.534172667	0.3661067	0.48966073	0.515858812	0.843972297	0.44698465	0.547551608	0.554732598	0.539493436	0.515435245	0.491197726	0.537974809	0.839351434	0.830789699	0.576040697	0.622428086	0.748110079	0.856045494	0.355253867	0.538706707	0.43957918	0.626170349	0.63427441	0.52621528	0.849175297	0.846259152	0.863749908	0.56888456	0.564787953	0.496770575	0.386333692	0.476014228	0.512747956	0.860804184	0.864165538	0.85699566
Kohl-LQ-Groundhog-KPM-G007	0.881977868	0.891689634	0.673471125	0.477759223	0.569598358	0	0.471401537	0.577441421	0.619064696	0.458657653	0.567682307	0.35197198	0.533336193	0.57605533	0.481472618	0.453909156	0.530560422	0.62440238	0.608680209	0.472578296	0.576371995	0.506067396	0.805921182	0.46614158	0.58419358	0.683023337	0.59842125	0.470264181	0.546315723	0.621392961	0.883405882	0.889771979	0.375441404	0.546172024	0.620681696	0.898022779	0.548955285	0.526968881	0.533813035	0.716462687	0.724068006	0.592943542	0.891648459	0.891292676	0.901969194	0.466707385	0.69078871	0.4917698	0.614498794	0.425125376	0.645819437	0.901069213	0.902523632	0.897784554
Kohl-LQ-Groundhog-KPM-G008	0.857434258	0.87225209	0.694959578	0.532088435	0.588576242	0.471401537	0	0.630063805	0.671896696	0.492926926	0.669047035	0.51252108	0.541505017	0.512344145	0.444531184	0.421011022	0.615234649	0.666312196	0.696667601	0.616407403	0.649224512	0.475356915	0.809073211	0.378332232	0.619767053	0.624802716	0.623248814	0.490678385	0.652905459	0.651922854	0.862640248	0.869770361	0.57688232	0.465789188	0.678602349	0.879626721	0.657913126	0.636065796	0.579796166	0.752145623	0.643748875	0.519033447	0.871838193	0.871283805	0.88543232	0.539378491	0.584952337	0.598893884	0.700699024	0.51231037	0.66402689	0.883208022	0.887764794	0.882335563
Kohl-LQ-Groundhog-KPM-G009	0.823546635	0.833651657	0.531136066	0.554207495	0.629442327	0.577441421	0.630063805	0	0.65705341	0.608848466	0.63668775	0.572696374	0.570825711	0.493814075	0.558812045	0.615361783	0.62704923	0.460264608	0.37681492	0.554916632	0.455271292	0.5356025	0.741560009	0.520024392	0.586465935	0.747076545	0.616823311	0.631417766	0.32349823	0.455977457	0.828310449	0.829604432	0.59356808	0.624501372	0.768727057	0.840777792	0.537423385	0.558295328	0.61326081	0.550078668	0.465320549	0.436994812	0.829633223	0.830899136	0.860365128	0.400479015	0.439105413	0.619627259	0.568108068	0.624612914	0.41841246	0.845334605	0.854070712	0.846789631
Kohl-LQ-Groundhog-KPM-G010	0.823052741	0.813489583	0.576183556	0.541990156	0.543491272	0.619064696	0.671896696	0.65705341	0	0.579362378	0.546312396	0.575307745	0.664927728	0.660317833	0.603065607	0.618978914	0.580669389	0.680181885	0.663038086	0.567001011	0.527615337	0.506640633	0.850714713	0.586389277	0.34643186	0.42654193	0.37534102	0.495974441	0.571598342	0.622366482	0.799209642	0.808380834	0.612360852	0.489398923	0.702682521	0.821357246	0.563574846	0.606574977	0.574655846	0.736592278	0.592377892	0.610693334	0.809082935	0.809904809	0.833386467	0.614671361	0.620707065	0.457752184	0.474148599	0.459208496	0.649712788	0.827136956	0.83668075	0.828707931
Kohl-LQ-Groundhog-KPM-G011	0.821629676	0.834965115	0.617221828	0.456043288	0.480266998	0.458657653	0.492926926	0.608848466	0.579362378	0	0.638230854	0.338445291	0.457800827	0.560477084	0.436188947	0.519765968	0.576616957	0.65442157	0.638146171	0.482572604	0.606386234	0.542469269	0.829870885	0.425257683	0.588472747	0.626947311	0.568644714	0.473481644	0.612619867	0.63320501	0.824253745	0.830944414	0.524236957	0.594908657	0.726330542	0.842821858	0.618562652	0.625000102	0.546969592	0.781505803	0.691170088	0.505940639	0.832231627	0.832471887	0.852468099	0.534021115	0.59266521	0.427389215	0.65394069	0.506172577	0.663625478	0.847546381	0.855909447	0.848871832
