	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G013	Kohl-LQ-Groundhog-KPM-G014	Kohl-LQ-Groundhog-KPM-G015	Kohl-LQ-Groundhog-KPM-G016	Kohl-LQ-Groundhog-KPM-G017	Kohl-LQ-Groundhog-KPM-G018	Kohl-LQ-Groundhog-KPM-G019	Kohl-LQ-Groundhog-KPM-G020	Kohl-LQ-Groundhog-KPM-G030	Kohl-LQ-Groundhog-KPM-G031	Kohl-LQ-Groundhog-KPM-G032	Kohl-LQ-Groundhog-KPM-G033	Kohl-LQ-Groundhog-KPM-G034	Kohl-LQ-Groundhog-KPM-G035	Kohl-LQ-Groundhog-KPM-G036	Kohl-LQ-Groundhog-KPM-G037	Kohl-LQ-Groundhog-KPM-G038	Kohl-LQ-Groundhog-KPM-G048	Kohl-LQ-Groundhog-KPM-G049	Kohl-LQ-Groundhog-KPM-G050	Kohl-LQ-Groundhog-KPM-G051	Kohl-LQ-Groundhog-KPM-G052	Kohl-LQ-Groundhog-KPM-G053	Kohl-LQ-Groundhog-KPM-G054	Kohl-LQ-Groundhog-KPM-G055	Kohl-LQ-Groundhog-KPM-G056	Kohl-LQ-Groundhog-KPM-G066	Kohl-LQ-Groundhog-KPM-G067	Kohl-LQ-Groundhog-KPM-G068	Kohl-LQ-Groundhog-KPM-G069	Kohl-LQ-Groundhog-KPM-G070	Kohl-LQ-Groundhog-KPM-G071	Kohl-LQ-Groundhog-KPM-G072	Kohl-LQ-Groundhog-KPM-G073	Kohl-LQ-Groundhog-KPM-G074	Kohl-LQ-Groundhog-KPM-G084	Kohl-LQ-Groundhog-KPM-G085	Kohl-LQ-Groundhog-KPM-G086	Kohl-LQ-Groundhog-KPM-G087	Kohl-LQ-Groundhog-KPM-G088	Kohl-LQ-Groundhog-KPM-G089	Kohl-LQ-Groundhog-KPM-G090	Kohl-LQ-Groundhog-KPM-G091	Kohl-LQ-Groundhog-KPM-G092	Kohl-LQ-Groundhog-KPM-G102	Kohl-LQ-Groundhog-KPM-G103	Kohl-LQ-Groundhog-KPM-G104	Kohl-LQ-Groundhog-KPM-G105	Kohl-LQ-Groundhog-KPM-G106	Kohl-LQ-Groundhog-KPM-G107	Kohl-LQ-Groundhog-KPM-G108	Kohl-LQ-Groundhog-KPM-G109	Kohl-LQ-Groundhog-KPM-G110
Kohl-LQ-Groundhog-KPM-G002	0	0.476344306	0.867212571	0.844121878	0.891140687	0.849170842	0.86916383	0.889106956	0.834702753	0.799619761	0.84584654	0.82633438	0.851089276	0.847816991	0.834764246	0.916916541	0.819881055	0.714775868	0.814165831	0.864680154	0.795804373	0.845429704	0.902034038	0.850843163	0.845838792	0.87318864	0.798709927	0.914444929	0.793437206	0.823192257	0.775825457	0.889725671	0.803670371	0.864157459	0.940505501	0.844602042	0.832577694	0.874647527	0.845872993	0.828152775	0.792855766	0.863128925	0.893571392	0.824243744	0.796994074	0.840686728	0.693225103	0.785081097	0.839831833	0.942973809	0.774351604	0.730483534	0.752322764	0.730349268	0.752981159
Kohl-LQ-Groundhog-KPM-G003	0.476344306	0	0.891638179	0.865732208	0.901822702	0.85713989	0.889412779	0.899034257	0.843486821	0.801056481	0.858338544	0.819238042	0.863679778	0.875886719	0.864142042	0.931934612	0.829943214	0.690233922	0.828233862	0.877805213	0.808969764	0.853701483	0.912602914	0.863812456	0.861140768	0.885344816	0.793132692	0.922107322	0.813435216	0.869157718	0.832666128	0.896454554	0.808612938	0.875700152	0.947429406	0.860506709	0.842657796	0.887042187	0.875694843	0.855575791	0.842633284	0.873282427	0.903453495	0.855294902	0.814339742	0.85215996	0.689237087	0.837611135	0.868294758	0.948459157	0.825737078	0.715214683	0.736769153	0.729707027	0.740417502
Kohl-LQ-Groundhog-KPM-G013	0.867212571	0.891638179	0	0.511051023	0.483602701	0.552158335	0.348931255	0.50693247	0.606645905	0.778468453	0.457085153	0.725760234	0.517878811	0.328845425	0.430087933	0.540425031	0.526049034	0.71824379	0.527315271	0.600995682	0.634487868	0.547310031	0.530037939	0.560854131	0.574709788	0.488142657	0.606972098	0.80588752	0.630844467	0.605184505	0.52809579	0.542874591	0.682389795	0.511599217	0.611701424	0.658978421	0.5845096	0.645948346	0.581786713	0.413462242	0.47447158	0.68436711	0.459589727	0.489058245	0.676942364	0.579801688	0.841132755	0.507051321	0.445065862	0.808064923	0.536618614	0.786732554	0.892862272	0.868872802	0.903182369
Kohl-LQ-Groundhog-KPM-G014	0.844121878	0.865732208	0.511051023	0	0.461169598	0.553685242	0.484610589	0.496737621	0.557400628	0.726710455	0.534920558	0.674738328	0.499260639	0.514567933	0.441644786	0.602985292	0.537225313	0.659607809	0.595667161	0.582100027	0.615436283	0.562063548	0.538777225	0.570983851	0.50555527	0.520378211	0.587254616	0.821642492	0.556433296	0.70010837	0.596751625	0.495743123	0.699441702	0.516194533	0.71744507	0.670106518	0.529806769	0.66322276	0.673184824	0.488386648	0.552147044	0.693338527	0.480034479	0.526941577	0.646227937	0.547390535	0.814390006	0.54082371	0.54624243	0.81560077	0.495164433	0.754615079	0.842324802	0.824573246	0.859284584
Kohl-LQ-Groundhog-KPM-G015	0.891140687	0.901822702	0.483602701	0.461169598	0	0.443046565	0.320921646	0.337706314	0.59326572	0.725190561	0.502756878	0.673666498	0.407585396	0.530275834	0.506454059	0.606023125	0.561753286	0.743112888	0.527699571	0.484976187	0.639546007	0.367453079	0.470184354	0.504219645	0.450476758	0.381919536	0.617323742	0.79390029	0.511158252	0.766418261	0.6060112	0.392648713	0.686768494	0.418335958	0.575025715	0.666397836	0.485271696	0.568249436	0.72465427	0.540113685	0.607901311	0.639506008	0.335961447	0.560774199	0.646165728	0.446739617	0.863021817	0.584952864	0.516764025	0.788920927	0.580704437	0.817659696	0.878683521	0.854255221	0.890401276
Kohl-LQ-Groundhog-KPM-G016	0.849170842	0.85713989	0.552158335	0.553685242	0.443046565	0	0.542595133	0.486973985	0.652850544	0.670924963	0.564045121	0.710018088	0.46518191	0.613768637	0.560826748	0.728774037	0.547500352	0.662735457	0.577018333	0.444791848	0.592313075	0.412030236	0.531548677	0.490416323	0.341874628	0.530173578	0.635527957	0.835002558	0.465907809	0.765823803	0.676446354	0.493105366	0.704263737	0.524433072	0.685175169	0.67323305	0.404677086	0.606548576	0.693824016	0.5626827	0.642577986	0.619623192	0.470244554	0.571080062	0.57459561	0.439090967	0.805544661	0.644496832	0.622890108	0.836804625	0.619532244	0.721652831	0.827987813	0.797402353	0.85649563
Kohl-LQ-Groundhog-KPM-G017	0.86916383	0.889412779	0.348931255	0.484610589	0.320921646	0.542595133	0	0.421048424	0.593718503	0.742165394	0.47326722	0.701633343	0.50451316	0.396028859	0.47037352	0.534637286	0.524141699	0.708849123	0.473132575	0.550452902	0.602303058	0.497853869	0.512131447	0.557370861	0.49351736	0.493955004	0.568515601	0.810529712	0.532748303	0.657115762	0.498996971	0.495637423	0.639189479	0.455509567	0.630944701	0.657758489	0.515743964	0.612685048	0.619229513	0.384186259	0.520364191	0.673323672	0.406393421	0.479082683	0.64444319	0.512605058	0.842575764	0.510199736	0.460999235	0.802512076	0.479217271	0.790067942	0.871187425	0.847806597	0.884369364
Kohl-LQ-Groundhog-KPM-G018	0.889106956	0.899034257	0.50693247	0.496737621	0.337706314	0.486973985	0.421048424	0	0.533563087	0.715448358	0.360666644	0.642221638	0.343535873	0.543392061	0.533000097	0.64049856	0.443710563	0.708662157	0.517377831	0.380328483	0.591176231	0.489247513	0.387557808	0.488734933	0.471667985	0.301563572	0.575057073	0.797032327	0.503145109	0.720689679	0.596814804	0.18268696	0.693197354	0.265503907	0.520584641	0.563712975	0.490917072	0.449823043	0.702774579	0.449441511	0.577268553	0.484203831	0.428591098	0.457328663	0.581937692	0.548878631	0.856328377	0.558237529	0.487920834	0.792442474	0.579705553	0.798318934	0.868448423	0.8430326	0.881106302
Kohl-LQ-Groundhog-KPM-G019	0.834702753	0.843486821	0.606645905	0.557400628	0.59326572	0.652850544	0.593718503	0.533563087	0	0.70866755	0.438876844	0.573932473	0.451471793	0.649541963	0.510926945	0.654035296	0.535113733	0.559734759	0.422043419	0.646285672	0.42522075	0.680957732	0.602889633	0.51783646	0.626324957	0.546959219	0.439222894	0.846648823	0.486532858	0.74633014	0.648966277	0.5406138	0.462488632	0.516990306	0.771078027	0.681288977	0.656569192	0.599758265	0.674225262	0.520175481	0.639015365	0.647407447	0.571553577	0.629951333	0.574154872	0.612275753	0.791343854	0.499345308	0.485108036	0.842779466	0.661720591	0.70354359	0.814897703	0.795289055	0.848757528
Kohl-LQ-Groundhog-KPM-G020	0.799619761	0.801056481	0.778468453	0.726710455	0.725190561	0.670924963	0.742165394	0.715448358	0.70866755	0	0.719740629	0.784468674	0.688254558	0.78213287	0.753395378	0.853636758	0.731255896	0.706887017	0.68629018	0.736288214	0.698400972	0.735802189	0.742825345	0.689657905	0.656024012	0.755721527	0.693146367	0.83308561	0.625431632	0.781837169	0.692859018	0.727740305	0.74345335	0.722756229	0.843622119	0.695722677	0.679911433	0.756917159	0.816003268	0.700587357	0.714380743	0.657567171	0.742702575	0.735701469	0.650990913	0.740862771	0.771301039	0.725723058	0.687481061	0.883971512	0.684143883	0.763388181	0.825899573	0.796950982	0.842853204
