	Kohl-Grounhog-KPM-R001	Kohl-Grounhog-KPM-R002	Kohl-Grounhog-KPM-R003	Kohl-Grounhog-KPM-R004	Kohl-Grounhog-KPM-R005	Kohl-Grounhog-KPM-R006	Kohl-Grounhog-KPM-R007	Kohl-Grounhog-KPM-R008	Kohl-Grounhog-KPM-R009	Kohl-Grounhog-KPM-R016	Kohl-Grounhog-KPM-R017	Kohl-Grounhog-KPM-R018	Kohl-Grounhog-KPM-R019	Kohl-Grounhog-KPM-R020	Kohl-Grounhog-KPM-R021	Kohl-Grounhog-KPM-R038	Kohl-Grounhog-KPM-R039	Kohl-Grounhog-KPM-R040	Kohl-Grounhog-KPM-R041	Kohl-Grounhog-KPM-R042	Kohl-Grounhog-KPM-R043	Kohl-Grounhog-KPM-R044	Kohl-Grounhog-KPM-R045	Kohl-Grounhog-KPM-R046	Kohl-Grounhog-KPM-R047	Kohl-Grounhog-KPM-R062	Kohl-Grounhog-KPM-R063	Kohl-Grounhog-KPM-R064	Kohl-Grounhog-KPM-R065	Kohl-Grounhog-KPM-R066	Kohl-Grounhog-KPM-R067	Kohl-Grounhog-KPM-R073	Kohl-Grounhog-KPM-R074	Kohl-Grounhog-KPM-R075	Kohl-Grounhog-KPM-R076	Kohl-Grounhog-KPM-R077	Kohl-Grounhog-KPM-R078	Kohl-Grounhog-KPM-R079	Kohl-Grounhog-KPM-R080	Kohl-Grounhog-KPM-R081	Kohl-Grounhog-KPM-R086	Kohl-Grounhog-KPM-R087	Kohl-Grounhog-KPM-R088	Kohl-Grounhog-KPM-R089	Kohl-Grounhog-KPM-R090	Kohl-Grounhog-KPM-R091	Kohl-Grounhog-KPM-R092	Kohl-Grounhog-KPM-R093	Kohl-Grounhog-KPM-R094	Kohl-Grounhog-KPM-R095	Kohl-Grounhog-KPM-R096	Kohl-Grounhog-KPM-R097	Kohl-Grounhog-KPM-R105	Kohl-Grounhog-KPM-R106	Kohl-Grounhog-KPM-R107	Kohl-Grounhog-KPM-R108	Kohl-Grounhog-KPM-R114	Kohl-Grounhog-KPM-R115	Kohl-Grounhog-KPM-R116	Kohl-Grounhog-KPM-R117	Kohl-Grounhog-KPM-R118	Kohl-Grounhog-KPM-R119	Kohl-Grounhog-KPM-R120	Kohl-Grounhog-KPM-R121	Kohl-Grounhog-KPM-R122	Kohl-Grounhog-KPM-R123	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R001	0	0.091519902	0.078644622	0.021051308	0.021051308	0.099447067	0.177742692	0.08446584	0.532758406	0.131575057	0.131575057	0.131575066	0.34358102	0.411907184	0.29411763	0.462649674	0.124774522	0.152300016	0.117206244	0.302009145	0.233012098	0.224555905	0.217870954	0.066003492	0.121866218	0.22247149	0.366259425	0.372300501	0.081948383	0.126901539	0.210178591	0.333795266	0.279836219	0.425626075	0.206708218	0.350524205	0.652805033	0.373219921	0.251131864	0.424052669	0.424018342	0.437961749	0.604104548	0.396237288	0.254815112	0.328640943	0.517021983	0.653393506	0.564569144	0.39331023	0.435842459	0.617296475	0.258967924	0.177299999	0.138129698	0.1419307	0.154857914	0.277792595	0.410705815	0.534463556	0.531868616	0.499161071	0.456561721	0.342479845	0.516891207	0.457638985	0.948969411	0.956123205
Kohl-Grounhog-KPM-R002	0.091519902	0	0.162459472	0.110500322	0.110500322	0.025959548	0.183152503	0.00840972	0.571190359	0.220529843	0.220529843	0.220529852	0.348502281	0.417595629	0.233941693	0.510081535	0.128591388	0.156975048	0.120775603	0.364410222	0.180344019	0.294303496	0.218470887	0.15105103	0.125588563	0.305264706	0.346481658	0.381491783	0.165441436	0.057997851	0.181103287	0.400979861	0.344331852	0.484776964	0.295094037	0.417802502	0.686946128	0.438032589	0.329305105	0.483135356	0.48382883	0.487670613	0.643186782	0.4498139	0.332581794	0.396372513	0.559469193	0.696205556	0.60269147	0.448241123	0.485747186	0.656115831	0.201851443	0.183477116	0.142755553	0.146707086	0.159609354	0.342481624	0.462938467	0.541542655	0.578348578	0.543241122	0.504554287	0.401075607	0.559350357	0.505532297	0.953298258	0.960086362
Kohl-Grounhog-KPM-R003	0.078644622	0.162459472	0	0.0588318	0.0588318	0.169201565	0.208833332	0.156467678	0.539142277	0.169616687	0.169616687	0.169616696	0.363622714	0.42510208	0.345368633	0.416782776	0.160853272	0.114990168	0.154025473	0.321827217	0.28419782	0.25033105	0.245410538	0.099616774	0.158228698	0.143826868	0.351195363	0.388037963	0.003585762	0.192622956	0.199765507	0.353578045	0.301286529	0.439286979	0.240057657	0.369545377	0.655085382	0.390538181	0.302996401	0.437764756	0.43789425	0.449072154	0.608130622	0.409780496	0.281798719	0.34882171	0.524112883	0.656217534	0.569618885	0.407298013	0.447071272	0.620914052	0.313628814	0.21248603	0.17576198	0.179325603	0.188061835	0.315225634	0.42338121	0.541070699	0.53910774	0.507092023	0.466656704	0.355403894	0.523988112	0.467676468	0.945770437	0.95544278
Kohl-Grounhog-KPM-R004	0.021051308	0.110500322	0.0588318	0	0	0.118101096	0.165413911	0.103739032	0.525417768	0.117709977	0.117709977	0.117709986	0.331858586	0.402514862	0.307770778	0.451094496	0.11184474	0.139679642	0.10419249	0.291684269	0.246584836	0.213324051	0.206013005	0.045918835	0.108904111	0.202658668	0.377209226	0.362379438	0.062206605	0.144446603	0.224325948	0.322552062	0.269246839	0.415410558	0.192554165	0.339199343	0.646445629	0.362224798	0.264911957	0.413854483	0.413694328	0.429343947	0.596940257	0.387079974	0.242152129	0.317326349	0.509464389	0.645414373	0.55767309	0.383930393	0.42719692	0.610149055	0.273542804	0.163259054	0.124239408	0.128025791	0.142266613	0.284042725	0.401734018	0.526790165	0.52354986	0.491359617	0.448188879	0.328340534	0.509331818	0.449280415	0.949025349	0.955309798
Kohl-Grounhog-KPM-R005	0.021051308	0.110500322	0.0588318	0	0	0.118101096	0.165413911	0.103739032	0.525417768	0.117709977	0.117709977	0.117709986	0.331858586	0.402514862	0.307770778	0.451094496	0.11184474	0.139679642	0.10419249	0.291684269	0.246584836	0.213324051	0.206013005	0.045918835	0.108904111	0.202658668	0.377209226	0.362379438	0.062206605	0.144446603	0.224325948	0.322552062	0.269246839	0.415410558	0.192554165	0.339199343	0.646445629	0.362224798	0.264911957	0.413854483	0.413694328	0.429343947	0.596940257	0.387079974	0.242152129	0.317326349	0.509464389	0.645414373	0.55767309	0.383930393	0.42719692	0.610149055	0.273542804	0.163259054	0.124239408	0.128025791	0.142266613	0.284042725	0.401734018	0.526790165	0.52354986	0.491359617	0.448188879	0.328340534	0.509331818	0.449280415	0.949025349	0.955309798
Kohl-Grounhog-KPM-R006	0.099447067	0.025959548	0.169201565	0.118101096	0.118101096	0	0.189566835	0.017846093	0.575523745	0.227215719	0.227215719	0.227215727	0.336061131	0.408058086	0.218299581	0.512396179	0.135887399	0.163805369	0.128202521	0.3683005	0.18680236	0.29909608	0.230112267	0.157977288	0.132934732	0.310857236	0.351432654	0.385176374	0.172135798	0.066518076	0.187549716	0.404936308	0.348471001	0.487799295	0.30114034	0.421658716	0.688030136	0.441626297	0.334417607	0.486163429	0.48688986	0.490201316	0.644594338	0.452731351	0.337644652	0.400389852	0.561341582	0.697523577	0.604215103	0.451239708	0.48829688	0.657464868	0.208903564	0.190810745	0.150454924	0.154370967	0.166397226	0.346644093	0.465718739	0.546365628	0.580312752	0.545253685	0.506921327	0.404531214	0.561223753	0.507890023	0.953319381	0.960102901
Kohl-Grounhog-KPM-R007	0.177742692	0.183152503	0.208833332	0.165413911	0.165413911	0.189566835	0	0.177454136	0.574517262	0.262891963	0.262891963	0.26289197	0.376478159	0.434375307	0.360433515	0.515200546	0.180465059	0.204222504	0.173953915	0.383339674	0.299366959	0.142689079	0.2613065	0.199249512	0.177961913	0.336019758	0.419879938	0.398534523	0.211343081	0.21186946	0.279283591	0.417935735	0.365567802	0.49311238	0.32882426	0.433260425	0.681926574	0.451205652	0.378194307	0.491595305	0.492326919	0.49457329	0.639979501	0.460014478	0.358903158	0.413870917	0.561106987	0.689416932	0.601798132	0.458797508	0.492808821	0.652198191	0.329670068	0.232078794	0.19626841	0.199743373	0.206436376	0.382555357	0.471955417	0.546999357	0.578885245	0.545954058	0.510101466	0.416041345	0.560995777	0.511003153	0.947041549	0.953475765
Kohl-Grounhog-KPM-R008	0.08446584	0.00840972	0.156467678	0.103739032	0.103739032	0.017846093	0.177454136	0	0.57222436	0.214582037	0.214582037	0.214582045	0.349599052	0.418621936	0.234839078	0.508037421	0.122103333	0.150904242	0.1141702	0.360965529	0.174606263	0.290054441	0.219189399	0.144894291	0.119055548	0.300294546	0.342085605	0.378230231	0.159492384	0.050411435	0.175376193	0.397473358	0.340665457	0.482102097	0.289715198	0.414384711	0.685991097	0.434848843	0.324765244	0.480455447	0.481119384	0.485434782	0.641945568	0.447234613	0.328086333	0.392811702	0.557817127	0.695042431	0.601348177	0.445589443	0.483494499	0.65492627	0.195574733	0.176948034	0.135900853	0.139883983	0.153576564	0.33879445	0.460481043	0.542595378	0.57661419	0.541464852	0.502463691	0.398017837	0.557697397	0.503449964	0.953279753	0.960071874
Kohl-Grounhog-KPM-R009	0.532758406	0.571190359	0.539142277	0.525417768	0.525417768	0.575523745	0.574517262	0.57222436	0	0.578892541	0.578892541	0.578892543	0.588184833	0.524515804	0.652618515	0.63436144	0.518244802	0.567928281	0.549580007	0.557526242	0.559327382	0.522940904	0.52612667	0.536055682	0.543300663	0.60984127	0.633029968	0.495625993	0.53995607	0.579417554	0.558801467	0.593283851	0.579901922	0.540095665	0.61461486	0.589495045	0.745276294	0.597676643	0.575615395	0.628839938	0.547564088	0.576836259	0.7113362	0.491668178	0.572458712	0.615837376	0.657766668	0.427787111	0.680773155	0.609158954	0.55980264	0.609228635	0.600541641	0.600632621	0.582008967	0.583816164	0.552000526	0.477417944	0.243204955	0.373919858	0.234526923	0.651253603	0.316907836	0.536752137	0.31872761	0.251097982	0.89784623	0.908418969
Kohl-Grounhog-KPM-R016	0.131575057	0.220529843	0.169616687	0.117709977	0.117709977	0.227215719	0.262891963	0.214582037	0.578892541	0	0	1.22E-08	0.262543626	0.472807433	0.22382599	0.51570615	0.215408939	0.240084016	0.208624397	0.370926819	0.340167753	0.301121096	0.298864722	0.158223707	0.212801805	0.313443555	0.468987715	0.43730224	0.172594244	0.250386648	0.318981487	0.255239782	0.350943186	0.364448402	0.084829462	0.273334941	0.628943192	0.30108284	0.180602645	0.362828525	0.361968632	0.493455841	0.574034438	0.455851138	0.154234039	0.248919163	0.564709888	0.623112178	0.607562374	0.435255439	0.491545804	0.588124317	0.183776982	0.051625969	0.235161565	0.232243335	0.24237703	0.369793394	0.468891082	0.582672418	0.491208426	0.548612513	0.510219304	0.407401554	0.564592025	0.511190202	0.954945308	0.960739042
