	Kohl-Grounhog-KPM-R010	Kohl-Grounhog-KPM-R011	Kohl-Grounhog-KPM-R012	Kohl-Grounhog-KPM-R013	Kohl-Grounhog-KPM-R014	Kohl-Grounhog-KPM-R015	Kohl-Grounhog-KPM-R022	Kohl-Grounhog-KPM-R023	Kohl-Grounhog-KPM-R024	Kohl-Grounhog-KPM-R025	Kohl-Grounhog-KPM-R026	Kohl-Grounhog-KPM-R027	Kohl-Grounhog-KPM-R028	Kohl-Grounhog-KPM-R029	Kohl-Grounhog-KPM-R030	Kohl-Grounhog-KPM-R031	Kohl-Grounhog-KPM-R032	Kohl-Grounhog-KPM-R033	Kohl-Grounhog-KPM-R034	Kohl-Grounhog-KPM-R035	Kohl-Grounhog-KPM-R036	Kohl-Grounhog-KPM-R037	Kohl-Grounhog-KPM-R048	Kohl-Grounhog-KPM-R049	Kohl-Grounhog-KPM-R050	Kohl-Grounhog-KPM-R051	Kohl-Grounhog-KPM-R052	Kohl-Grounhog-KPM-R053	Kohl-Grounhog-KPM-R054	Kohl-Grounhog-KPM-R055	Kohl-Grounhog-KPM-R056	Kohl-Grounhog-KPM-R057	Kohl-Grounhog-KPM-R058	Kohl-Grounhog-KPM-R059	Kohl-Grounhog-KPM-R060	Kohl-Grounhog-KPM-R061	Kohl-Grounhog-KPM-R068	Kohl-Grounhog-KPM-R069	Kohl-Grounhog-KPM-R070	Kohl-Grounhog-KPM-R071	Kohl-Grounhog-KPM-R072	Kohl-Grounhog-KPM-R082	Kohl-Grounhog-KPM-R083	Kohl-Grounhog-KPM-R084	Kohl-Grounhog-KPM-R085	Kohl-Grounhog-KPM-R098	Kohl-Grounhog-KPM-R099	Kohl-Grounhog-KPM-R100	Kohl-Grounhog-KPM-R101	Kohl-Grounhog-KPM-R102	Kohl-Grounhog-KPM-R103	Kohl-Grounhog-KPM-R104	Kohl-Grounhog-KPM-R109	Kohl-Grounhog-KPM-R110	Kohl-Grounhog-KPM-R111	Kohl-Grounhog-KPM-R112	Kohl-Grounhog-KPM-R113	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R010	0	0.285150901	0.498310033	0.248102659	0.673094012	0.58667144	0.674152262	0.604864127	0.619681898	0.371828381	0.359386451	0.344810012	0.685061492	0.397270304	0.382914026	0.382742028	0.352882557	0.388774282	0.382742029	0.375969334	0.623905694	0.633762454	0.420522509	0.357753615	0.407949128	0.386415947	0.610080902	0.380027159	0.621503285	0.67814694	0.415657974	0.656943466	0.432887297	0.392109703	0.373765922	0.678295439	0.252655119	0.383549962	0.298387225	0.279081342	0.294735231	0.290782925	0.60543192	0.593584899	0.320865743	0.299527894	0.29229105	0.606528248	0.426648928	0.304518893	0.286511819	0.417386573	0.316694614	0.318223576	0.314942701	0.37984992	0.36613725	0.908139113	0.915998577
Kohl-Grounhog-KPM-R011	0.285150901	0	0.551318683	0.31464757	0.707281843	0.636860062	0.707920336	0.652418639	0.646930851	0.418783345	0.504184461	0.387903095	0.722948624	0.427362365	0.419440081	0.411038611	0.383839928	0.416434052	0.411038612	0.434397436	0.664944049	0.673210478	0.553801788	0.424796263	0.441904932	0.41202306	0.653393592	0.413288755	0.662933201	0.690535476	0.448840032	0.672801317	0.492613686	0.4286048	0.412621235	0.717366622	0.338592673	0.445023	0.364667298	0.363945182	0.356998176	0.359386288	0.650598199	0.641907294	0.382878699	0.367947862	0.373647885	0.65296019	0.485216268	0.372337112	0.357677278	0.483545834	0.396689637	0.397724666	0.397073586	0.451080589	0.436351043	0.906179633	0.906353776
Kohl-Grounhog-KPM-R012	0.498310033	0.551318683	0	0.521294158	0.51560945	0.326716466	0.545458845	0.367109614	0.7938464	0.676726143	0.620819081	0.544506058	0.414458792	0.572942755	0.563964376	0.553986228	0.532483653	0.56477555	0.55398623	0.548320082	0.32275219	0.350780932	0.656105897	0.53792275	0.583503123	0.557458394	0.281910499	0.55857057	0.315785636	0.449266721	0.589484794	0.407457535	0.61841164	0.576587935	0.564632601	0.393821089	0.54816676	0.553813354	0.568564633	0.559588301	0.454541678	0.548760991	0.387498942	0.349012408	0.522802312	0.574554634	0.575533896	0.247631864	0.652418312	0.569307475	0.56957032	0.661897325	0.559464741	0.59050605	0.593579515	0.63696305	0.610771615	0.939661594	0.945048668
Kohl-Grounhog-KPM-R013	0.248102659	0.31464757	0.521294158	0	0.685371896	0.605876644	0.686258135	0.62358295	0.646807151	0.418406602	0.480417569	0.384961972	0.698452245	0.427045564	0.419123207	0.408257457	0.380870314	0.413701384	0.408257458	0.405898409	0.63967098	0.64872865	0.533057385	0.395495804	0.441612113	0.411698035	0.627000446	0.410522954	0.63746635	0.690377706	0.448554447	0.670645096	0.464621611	0.428289373	0.412284242	0.692254988	0.302531297	0.417851199	0.330610553	0.328035808	0.32501222	0.324264264	0.623180299	0.612839517	0.350686829	0.334288705	0.340270257	0.624762992	0.460778659	0.338905221	0.32133149	0.457060006	0.363606503	0.365984111	0.365440216	0.422976029	0.408757457	0.896513124	0.906762096
Kohl-Grounhog-KPM-R014	0.673094012	0.707281843	0.51560945	0.685371896	0	0.380707927	0.555733771	0.480015236	0.735259079	0.718693353	0.679900169	0.66731746	0.61622264	0.695395458	0.684111814	0.679634186	0.665156384	0.684606008	0.679634187	0.669333625	0.540888179	0.555861186	0.644290492	0.663313643	0.696097502	0.680158722	0.51955031	0.68083316	0.537208676	0.617064286	0.699801381	0.593946153	0.730776927	0.696042845	0.690679288	0.605798033	0.606085248	0.687562752	0.621679105	0.617398211	0.685225068	0.565078137	0.466072032	0.40077277	0.604565509	0.626292907	0.627048688	0.500297998	0.672225173	0.652928751	0.626001885	0.653469516	0.614700009	0.586930686	0.589772175	0.630139895	0.664732138	0.948089783	0.951077353
Kohl-Grounhog-KPM-R015	0.58667144	0.636860062	0.326716466	0.605876644	0.380707927	0	0.452288454	0.227210205	0.779899184	0.630804664	0.634950821	0.552700019	0.430536418	0.596725611	0.584062436	0.573817714	0.548948075	0.582216107	0.573817715	0.567066979	0.329160113	0.35959737	0.675474085	0.556509107	0.603871292	0.577440503	0.284351117	0.575849577	0.321555444	0.465376455	0.609912337	0.416904964	0.642341264	0.597815602	0.586069806	0.408305363	0.456078406	0.596327441	0.48439284	0.496110786	0.607497231	0.426394976	0.226822922	0.090851452	0.487377741	0.492629911	0.493973208	0.271175475	0.633525012	0.555976382	0.507629939	0.625698343	0.499663656	0.539325095	0.518561546	0.575006755	0.640150078	0.955160339	0.960910921
Kohl-Grounhog-KPM-R022	0.674152262	0.707920336	0.545458845	0.686258135	0.555733771	0.452288454	0	0.488323847	0.688940209	0.723416306	0.591076787	0.589103672	0.507263681	0.621538549	0.610767347	0.60500149	0.586308572	0.611403278	0.605001491	0.59832547	0.429385757	0.449111123	0.591079109	0.588362063	0.626165704	0.605677311	0.401136861	0.606546125	0.42452616	0.523663497	0.630913713	0.444372246	0.658909169	0.622379036	0.61380078	0.493006908	0.592759637	0.619238193	0.534881837	0.623892079	0.689633848	0.613053845	0.392775939	0.47742266	0.642870066	0.540837684	0.539260189	0.507887348	0.647190891	0.656120329	0.632342206	0.641980599	0.544706406	0.642004198	0.628826892	0.664688638	0.68736765	0.94773064	0.952882789
Kohl-Grounhog-KPM-R023	0.604864127	0.652418639	0.367109614	0.62358295	0.480015236	0.227210205	0.488323847	0	0.789495596	0.6075235	0.662904831	0.590671561	0.480197856	0.630525649	0.617155856	0.61017261	0.587205001	0.617923179	0.610172611	0.601820838	0.375814942	0.40458651	0.700624696	0.589674705	0.593756921	0.610993561	0.333378706	0.612047996	0.368619633	0.443693272	0.600204014	0.464850167	0.676413576	0.631535279	0.621338831	0.45954361	0.49550036	0.626883053	0.52209842	0.463840657	0.588190402	0.496281236	0.270120169	0.168626161	0.554580602	0.529829161	0.527841764	0.194897353	0.659441793	0.527860155	0.476150733	0.605610041	0.506844544	0.547167678	0.554146184	0.607611496	0.621549489	0.958993799	0.961460267
Kohl-Grounhog-KPM-R024	0.619681898	0.646930851	0.7938464	0.646807151	0.735259079	0.779899184	0.688940209	0.789495596	0	0.60768923	0.566739344	0.559628029	0.797287478	0.572235914	0.575574939	0.579737754	0.566422964	0.584390985	0.579737755	0.590482438	0.756179633	0.760400083	0.439849996	0.578334621	0.587252094	0.580226697	0.750387325	0.577825763	0.755162533	0.706601887	0.590912013	0.74627375	0.622349107	0.567406853	0.55348966	0.794472921	0.578804401	0.598836222	0.551988272	0.594131536	0.645261854	0.597867471	0.742591742	0.782647533	0.613827728	0.554059007	0.543900654	0.793370259	0.58931169	0.619653338	0.594513671	0.569517396	0.557410783	0.565400667	0.570556561	0.592492941	0.590506113	0.905384576	0.912963921
Kohl-Grounhog-KPM-R025	0.371828381	0.418783345	0.676726143	0.418406602	0.718693353	0.630804664	0.723416306	0.6075235	0.60768923	0	0.480243074	0.290229837	0.756874042	0.324715795	0.338798755	0.344832594	0.304312475	0.358455963	0.344832595	0.377894179	0.679794499	0.690127037	0.527691178	0.346876134	0.372353293	0.346276789	0.665082417	0.34144456	0.677256482	0.711268448	0.382542568	0.693614329	0.428800158	0.31433422	0.270626932	0.750345376	0.186348564	0.404976169	0.257619777	0.158086362	0.362528895	0.238624944	0.644245166	0.613293189	0.309271401	0.265985186	0.242011067	0.623057291	0.459361768	0.268035779	0.156082822	0.371040545	0.265760746	0.274235693	0.28830063	0.356644509	0.40314742	0.935169186	0.940436519
Kohl-Grounhog-KPM-R026	0.359386451	0.504184461	0.620819081	0.480417569	0.679900169	0.634950821	0.591076787	0.662904831	0.566739344	0.480243074	0	0.289091558	0.599568733	0.332218438	0.325594632	0.315868873	0.284389558	0.310544777	0.315868871	0.301709355	0.542417147	0.553873809	0.254510512	0.301223199	0.351605243	0.317008446	0.526394664	0.318473604	0.539628959	0.601991437	0.359636339	0.570030684	0.370151105	0.333662305	0.314020521	0.59137398	0.35937415	0.351369309	0.303566541	0.399596612	0.418609633	0.394634788	0.597097288	0.653286446	0.347459804	0.2944127	0.313138033	0.606920122	0.455411353	0.427708464	0.394136659	0.442685667	0.352171279	0.427583594	0.412053244	0.461457936	0.51010524	0.904146327	0.912816647
