	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G004	Kohl-LQ-Groundhog-KPM-G005	Kohl-LQ-Groundhog-KPM-G006	Kohl-LQ-Groundhog-KPM-G007	Kohl-LQ-Groundhog-KPM-G008	Kohl-LQ-Groundhog-KPM-G009	Kohl-LQ-Groundhog-KPM-G010	Kohl-LQ-Groundhog-KPM-G011	Kohl-LQ-Groundhog-KPM-G021	Kohl-LQ-Groundhog-KPM-G022	Kohl-LQ-Groundhog-KPM-G023	Kohl-LQ-Groundhog-KPM-G025	Kohl-LQ-Groundhog-KPM-G026	Kohl-LQ-Groundhog-KPM-G027	Kohl-LQ-Groundhog-KPM-G028	Kohl-LQ-Groundhog-KPM-G029	Kohl-LQ-Groundhog-KPM-G039	Kohl-LQ-Groundhog-KPM-G040	Kohl-LQ-Groundhog-KPM-G041	Kohl-LQ-Groundhog-KPM-G042	Kohl-LQ-Groundhog-KPM-G043	Kohl-LQ-Groundhog-KPM-G044	Kohl-LQ-Groundhog-KPM-G045	Kohl-LQ-Groundhog-KPM-G046	Kohl-LQ-Groundhog-KPM-G047	Kohl-LQ-Groundhog-KPM-G057	Kohl-LQ-Groundhog-KPM-G058	Kohl-LQ-Groundhog-KPM-G059	Kohl-LQ-Groundhog-KPM-G060	Kohl-LQ-Groundhog-KPM-G061	Kohl-LQ-Groundhog-KPM-G062	Kohl-LQ-Groundhog-KPM-G063	Kohl-LQ-Groundhog-KPM-G064	Kohl-LQ-Groundhog-KPM-G065	Kohl-LQ-Groundhog-KPM-G075	Kohl-LQ-Groundhog-KPM-G076	Kohl-LQ-Groundhog-KPM-G077	Kohl-LQ-Groundhog-KPM-G078	Kohl-LQ-Groundhog-KPM-G079	Kohl-LQ-Groundhog-KPM-G080	Kohl-LQ-Groundhog-KPM-G081	Kohl-LQ-Groundhog-KPM-G082	Kohl-LQ-Groundhog-KPM-G083	Kohl-LQ-Groundhog-KPM-G093	Kohl-LQ-Groundhog-KPM-G094	Kohl-LQ-Groundhog-KPM-G095	Kohl-LQ-Groundhog-KPM-G096	Kohl-LQ-Groundhog-KPM-G097	Kohl-LQ-Groundhog-KPM-G098	Kohl-LQ-Groundhog-KPM-G099	Kohl-LQ-Groundhog-KPM-G100	Kohl-LQ-Groundhog-KPM-G101
Kohl-LQ-Groundhog-KPM-G002	0	0.175138927	0.355534159	0.357721778	0.362289664	0.379370366	0.370762678	0.475975974	0.3756464	0.38233889	0.318718833	0.366441847	0.348130023	0.384005531	0.350015961	0.369458714	0.368969146	0.37266281	0.361155348	0.360010949	0.350337708	0.366747777	0.443437738	0.362351704	0.38185279	0.386985208	0.37313816	0.390220155	0.34590259	0.34050986	0.171504464	0.168427347	0.372982979	0.383742061	0.388436756	0.167549427	0.373105075	0.366904627	0.333961659	0.374932963	0.395499075	0.358994295	0.17553158	0.17652734	0.177754608	0.350744827	0.384767447	0.3903519	0.373299791	0.387883936	0.359637487	0.181329637	0.18950662	0.189536971
Kohl-LQ-Groundhog-KPM-G003	0.175138927	0	0.349147585	0.337817369	0.354621323	0.356370137	0.347223205	0.454112344	0.354270424	0.359941577	0.313653405	0.347825356	0.339923531	0.35084878	0.33171345	0.346078114	0.344561311	0.355191449	0.353390318	0.340702136	0.343166235	0.343218075	0.454921255	0.340271282	0.358315807	0.353857085	0.351431092	0.366734706	0.337252653	0.335186807	0.120621767	0.083839942	0.349970488	0.361357073	0.35492203	0.063165944	0.353829947	0.344790297	0.330987869	0.353280579	0.362658159	0.337118727	0.102121413	0.07062618	0.053280535	0.331679634	0.351885495	0.366810515	0.352797511	0.365876451	0.34938922	0.11530779	0.093085999	0.091617559
Kohl-LQ-Groundhog-KPM-G004	0.355534159	0.349147585	0	0.105035307	0.067936415	0.126431681	0.133414127	0.263856078	0.106668712	0.078736034	0.134348431	0.055343245	0.154988936	0.255242185	0.088282894	0.128599939	0.153960825	0.140427421	0.081845278	0.113418065	0.08623765	0.122016377	0.425604811	0.080361795	0.104084831	0.221949649	0.10481825	0.083948295	0.115099679	0.093967913	0.346684473	0.353615089	0.133863278	0.108601217	0.25586884	0.350854835	0.130872226	0.127058036	0.095074677	0.12963582	0.225095373	0.100198316	0.348819786	0.354717807	0.347791337	0.09828386	0.244658204	0.085187708	0.132622556	0.072499299	0.133355162	0.353234056	0.319398647	0.303271602
Kohl-LQ-Groundhog-KPM-G005	0.357721778	0.337817369	0.105035307	0	0.116845511	0.065632471	0.085114239	0.2545304	0.129370283	0.093155148	0.16258017	0.089994763	0.181364483	0.208235645	0.066172653	0.070749147	0.061268626	0.068117737	0.115535169	0.012000626	0.131851329	0.073769231	0.396656398	0.107819121	0.093479749	0.20769743	0.107777809	0.105126784	0.074889106	0.142918319	0.339132441	0.343827935	0.057725138	0.085927961	0.208696304	0.340188061	0.038428288	0.078826185	0.098836812	0.046042047	0.217086619	0.120836848	0.34107737	0.34776849	0.336514914	0.07288844	0.210556005	0.107679802	0.047227971	0.107566766	0.16577404	0.348526893	0.311629537	0.289590605
Kohl-LQ-Groundhog-KPM-G006	0.362289664	0.354621323	0.067936415	0.116845511	0	0.120748207	0.119659216	0.320385062	0.163074541	0.068477979	0.156494135	0.091340791	0.197174666	0.211172097	0.121718596	0.104478461	0.120933546	0.111177519	0.058976644	0.111171072	0.054360416	0.103066016	0.417236963	0.131647038	0.094735751	0.178080519	0.103743061	0.053347609	0.092897855	0.128001043	0.355172552	0.359229419	0.108823858	0.101450258	0.212354868	0.355229565	0.120935286	0.101989717	0.125410124	0.119926263	0.181777089	0.126558871	0.357448279	0.364313587	0.3519888	0.115840162	0.201387731	0.053460509	0.119439855	0.053896719	0.090583859	0.365287572	0.327320783	0.300616238
Kohl-LQ-Groundhog-KPM-G007	0.379370366	0.356370137	0.126431681	0.065632471	0.120748207	0	0.051627376	0.266935108	0.114181114	0.055466858	0.177211777	0.083541304	0.19029842	0.216123251	0.10484993	0.07246581	0.092567181	0.086150538	0.094542322	0.062398119	0.125895095	0.079099526	0.396169805	0.125989923	0.037246406	0.200886841	0.070284662	0.091390238	0.110025866	0.158217024	0.359923742	0.363933344	0.071494943	0.029565342	0.214069519	0.358541499	0.063369732	0.081863999	0.123044418	0.069590935	0.210553259	0.148589859	0.362259729	0.368268041	0.356057895	0.104982424	0.206392077	0.097187185	0.074387133	0.089577403	0.148414689	0.369439411	0.329146489	0.303007489
Kohl-LQ-Groundhog-KPM-G008	0.370762678	0.347223205	0.133414127	0.085114239	0.119659216	0.051627376	0	0.266083845	0.128692487	0.05582827	0.181276332	0.083974494	0.197788309	0.169752354	0.090697979	0.056877706	0.111918326	0.115101531	0.111092457	0.079951515	0.130537013	0.041227806	0.389706177	0.113117513	0.044002114	0.165162743	0.07853221	0.085992264	0.14424895	0.184948943	0.35078045	0.354790052	0.093461023	0.051868675	0.164983042	0.349410413	0.082827173	0.050173237	0.161914362	0.09332122	0.183712183	0.124693108	0.353128642	0.359124749	0.346926809	0.095597392	0.174815351	0.095317901	0.094877567	0.088732336	0.150965126	0.360308325	0.323069498	0.301040359
Kohl-LQ-Groundhog-KPM-G009	0.475975974	0.454112344	0.263856078	0.2545304	0.320385062	0.266935108	0.266083845	0	0.174896946	0.276213083	0.249263981	0.243806143	0.195312817	0.410233178	0.245518762	0.291171964	0.311892775	0.319985808	0.310147987	0.264841249	0.311515324	0.27939386	0.527405459	0.210406011	0.270379596	0.411426406	0.274712098	0.302732742	0.318647166	0.255719198	0.434596391	0.449965554	0.29688661	0.274233775	0.409928104	0.458837877	0.287538831	0.29184443	0.279824745	0.297759661	0.42045691	0.230014735	0.438800585	0.447648578	0.45803647	0.262329582	0.413683303	0.307624521	0.299159061	0.296351682	0.351133818	0.43745521	0.413525323	0.419326815
Kohl-LQ-Groundhog-KPM-G010	0.3756464	0.354270424	0.106668712	0.129370283	0.163074541	0.114181114	0.128692487	0.174896946	0	0.105094456	0.130083083	0.078913446	0.096368193	0.287424559	0.121079183	0.160927645	0.188115249	0.185966335	0.151989435	0.140569973	0.153941602	0.151942878	0.436298009	0.065285741	0.099144877	0.253679504	0.103363492	0.146045522	0.168261881	0.101950474	0.338781949	0.350994581	0.166037069	0.102325055	0.287159355	0.359550709	0.163091825	0.161570725	0.138757687	0.16944005	0.263682291	0.0868303	0.341815647	0.34828469	0.358728173	0.129735729	0.277240437	0.151229395	0.173734803	0.134848217	0.194197198	0.343890438	0.310115748	0.312439147
Kohl-LQ-Groundhog-KPM-G011	0.38233889	0.359941577	0.078736034	0.093155148	0.068477979	0.055466858	0.05582827	0.276213083	0.105094456	0	0.175618874	0.037566517	0.189467816	0.216786136	0.116726275	0.094785127	0.124292893	0.121662489	0.069704945	0.089543496	0.079393792	0.086196393	0.406163929	0.107742255	0.030107535	0.183352838	0.046474094	0.046455298	0.127149302	0.152115076	0.36338929	0.367408177	0.102926809	0.035562246	0.216938922	0.362214553	0.099711654	0.094204943	0.151692777	0.105985615	0.187273044	0.129400508	0.365715708	0.371759237	0.359643864	0.119759583	0.206876513	0.053075153	0.110607923	0.039346158	0.115085867	0.372989605	0.331851256	0.306722315
Kohl-LQ-Groundhog-KPM-G021	0.318718833	0.313653405	0.134348431	0.16258017	0.156494135	0.177211777	0.181276332	0.249263981	0.130083083	0.175618874	0	0.140875902	0.076508702	0.268568797	0.129873862	0.175728792	0.188608035	0.185948479	0.15980135	0.168887514	0.14719161	0.17278819	0.414849663	0.111819256	0.17181591	0.249953227	0.163022328	0.181801499	0.153916502	0.106538259	0.306910475	0.315355403	0.181393872	0.1765699	0.268444885	0.313168379	0.195255995	0.175511536	0.114509597	0.194114382	0.259598877	0.11008543	0.310776326	0.317385242	0.309940803	0.128420955	0.258925904	0.183643358	0.194436972	0.189707337	0.166600527	0.313323337	0.274393032	0.263232501
Kohl-LQ-Groundhog-KPM-G022	0.366441847	0.347825356	0.055343245	0.089994763	0.091340791	0.083541304	0.083974494	0.243806143	0.078913446	0.037566517	0.140875902	0	0.154996722	0.237777173	0.08678223	0.118414893	0.150104012	0.147475797	0.09255164	0.099787565	0.094003466	0.109957643	0.412849683	0.078036432	0.056636924	0.204197943	0.051681232	0.071570941	0.130334824	0.121664991	0.346035444	0.351974198	0.128098946	0.063897941	0.237528904	0.349199032	0.125553678	0.118292879	0.121541961	0.131756781	0.208063202	0.099609791	0.347939467	0.35467294	0.346242706	0.090276281	0.227966332	0.079642906	0.136448413	0.063103894	0.13436825	0.355107649	0.315572274	0.295620165
Kohl-LQ-Groundhog-KPM-G023	0.348130023	0.339923531	0.154988936	0.181364483	0.197174666	0.19029842	0.197788309	0.195312817	0.096368193	0.189467816	0.076508702	0.154996722	0	0.316333014	0.162975051	0.211888076	0.236582479	0.228091203	0.190578223	0.189905764	0.182895167	0.200967269	0.437198133	0.111231419	0.186453797	0.296983018	0.173291094	0.199398324	0.20098127	0.13650533	0.317509889	0.334243884	0.215421218	0.189966221	0.316867427	0.343343043	0.21202851	0.211994735	0.162622328	0.216718921	0.306331233	0.129464378	0.321970195	0.33197394	0.343095678	0.177133665	0.306837118	0.2000967	0.219943723	0.202248225	0.21459828	0.321137649	0.295212766	0.298728823
