	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G013	Kohl-LQ-Groundhog-KPM-G014	Kohl-LQ-Groundhog-KPM-G015	Kohl-LQ-Groundhog-KPM-G016	Kohl-LQ-Groundhog-KPM-G017	Kohl-LQ-Groundhog-KPM-G018	Kohl-LQ-Groundhog-KPM-G019	Kohl-LQ-Groundhog-KPM-G020	Kohl-LQ-Groundhog-KPM-G030	Kohl-LQ-Groundhog-KPM-G031	Kohl-LQ-Groundhog-KPM-G032	Kohl-LQ-Groundhog-KPM-G033	Kohl-LQ-Groundhog-KPM-G034	Kohl-LQ-Groundhog-KPM-G035	Kohl-LQ-Groundhog-KPM-G036	Kohl-LQ-Groundhog-KPM-G037	Kohl-LQ-Groundhog-KPM-G038	Kohl-LQ-Groundhog-KPM-G048	Kohl-LQ-Groundhog-KPM-G049	Kohl-LQ-Groundhog-KPM-G050	Kohl-LQ-Groundhog-KPM-G051	Kohl-LQ-Groundhog-KPM-G052	Kohl-LQ-Groundhog-KPM-G053	Kohl-LQ-Groundhog-KPM-G054	Kohl-LQ-Groundhog-KPM-G055	Kohl-LQ-Groundhog-KPM-G056	Kohl-LQ-Groundhog-KPM-G066	Kohl-LQ-Groundhog-KPM-G067	Kohl-LQ-Groundhog-KPM-G068	Kohl-LQ-Groundhog-KPM-G069	Kohl-LQ-Groundhog-KPM-G070	Kohl-LQ-Groundhog-KPM-G071	Kohl-LQ-Groundhog-KPM-G072	Kohl-LQ-Groundhog-KPM-G073	Kohl-LQ-Groundhog-KPM-G074	Kohl-LQ-Groundhog-KPM-G084	Kohl-LQ-Groundhog-KPM-G085	Kohl-LQ-Groundhog-KPM-G086	Kohl-LQ-Groundhog-KPM-G087	Kohl-LQ-Groundhog-KPM-G088	Kohl-LQ-Groundhog-KPM-G089	Kohl-LQ-Groundhog-KPM-G090	Kohl-LQ-Groundhog-KPM-G091	Kohl-LQ-Groundhog-KPM-G092	Kohl-LQ-Groundhog-KPM-G102	Kohl-LQ-Groundhog-KPM-G103	Kohl-LQ-Groundhog-KPM-G104	Kohl-LQ-Groundhog-KPM-G105	Kohl-LQ-Groundhog-KPM-G106	Kohl-LQ-Groundhog-KPM-G107	Kohl-LQ-Groundhog-KPM-G108	Kohl-LQ-Groundhog-KPM-G109	Kohl-LQ-Groundhog-KPM-G110
Kohl-LQ-Groundhog-KPM-G002	0	0.175138927	0.345098147	0.347948578	0.35473007	0.417985551	0.379791677	0.381299339	0.373404612	0.522613606	0.382461983	0.392108513	0.383315145	0.349073462	0.375472271	0.355687878	0.377034799	0.366383703	0.378527124	0.371955815	0.386637232	0.371723498	0.347149842	0.344123515	0.36619659	0.387155341	0.370394525	0.415198437	0.360540766	0.382313779	0.359921205	0.392082171	0.369330145	0.391605543	0.373051118	0.384138033	0.368001779	0.381781276	0.381593747	0.35928907	0.345198645	0.397279312	0.37518155	0.335163253	0.384389435	0.3586823	0.294385162	0.371555014	0.33454063	0.371217509	0.338710374	0.33964245	0.334231619	0.309197754	0.284878092
Kohl-LQ-Groundhog-KPM-G003	0.175138927	0	0.340489521	0.333930027	0.330996916	0.396895466	0.352564988	0.358722605	0.340425121	0.50144382	0.358944351	0.358885512	0.360838132	0.339966259	0.353516239	0.347767548	0.354298236	0.332568051	0.355364682	0.349036937	0.353011336	0.34816761	0.336595506	0.317279586	0.351710501	0.364653539	0.337368323	0.427942485	0.33774934	0.353641866	0.346572015	0.370048503	0.336073882	0.368129946	0.348810094	0.35156542	0.342939475	0.35422076	0.352413849	0.346874527	0.336659727	0.364483246	0.354036386	0.329699365	0.35164543	0.33403006	0.267939895	0.349689642	0.330043989	0.346863225	0.335869231	0.30368477	0.301801447	0.262413402	0.228687839
Kohl-LQ-Groundhog-KPM-G013	0.345098147	0.340489521	0	0.122545031	0.157491896	0.215750052	0.174574526	0.201590703	0.235741434	0.365228884	0.151887185	0.201694172	0.132392558	0.154054002	0.167541007	0.1404701	0.196938778	0.232962873	0.195972914	0.167003888	0.252449832	0.174658965	0.147961599	0.129754267	0.108003112	0.105117271	0.234251792	0.319686986	0.157335178	0.203650659	0.155053679	0.111191556	0.23488359	0.120386254	0.145186174	0.247762144	0.143232736	0.115621012	0.208900131	0.151931588	0.139616014	0.222430273	0.076563766	0.070703668	0.25013581	0.121914014	0.142506501	0.146916103	0.084851018	0.224634439	0.08524727	0.222512469	0.321936778	0.327509206	0.295843429
Kohl-LQ-Groundhog-KPM-G014	0.347948578	0.333930027	0.122545031	0	0.1297263	0.166884569	0.105394317	0.111717095	0.214815006	0.319276004	0.132028224	0.234090803	0.148587195	0.147456278	0.071462046	0.136102279	0.102888854	0.215552492	0.0997235	0.083823986	0.230857105	0.118528024	0.117556868	0.153034377	0.126719376	0.135791793	0.212479935	0.269541674	0.110363107	0.137593972	0.10763661	0.138192259	0.213369823	0.141121597	0.113963844	0.226315974	0.114688935	0.143483071	0.139283267	0.097117297	0.075157893	0.239045164	0.114740665	0.094407673	0.22857586	0.1143146	0.157973425	0.11182839	0.107206556	0.15911669	0.110686897	0.203621618	0.313104465	0.317066996	0.288659662
Kohl-LQ-Groundhog-KPM-G015	0.35473007	0.330996916	0.157491896	0.1297263	0	0.206310243	0.119913552	0.162895179	0.08801626	0.379315061	0.135252264	0.11206457	0.135644293	0.157193562	0.11371089	0.153940705	0.158468125	0.087382818	0.157843565	0.092455773	0.117521762	0.066857945	0.09829458	0.104892498	0.085755542	0.144974748	0.087180802	0.296094865	0.042257507	0.150889548	0.131253074	0.150979068	0.088351037	0.128731129	0.066149215	0.106725052	0.063597746	0.090523379	0.154961012	0.127500759	0.115047447	0.123605037	0.111571545	0.137822469	0.112259551	0.059935021	0.129766136	0.076153756	0.151144587	0.167801053	0.160791976	0.085707523	0.291248648	0.303734774	0.270397054
Kohl-LQ-Groundhog-KPM-G016	0.417985551	0.396895466	0.215750052	0.166884569	0.206310243	0	0.259674634	0.221936924	0.291517612	0.1821715	0.206468533	0.310664444	0.228876587	0.243593104	0.225515348	0.231951916	0.216161171	0.291789919	0.21691866	0.187464767	0.30851682	0.19843317	0.192984728	0.227427452	0.211883599	0.229522264	0.289079147	0.371553073	0.187496966	0.290885538	0.265530128	0.233359786	0.289596663	0.240333037	0.1994395	0.302714318	0.206526153	0.233824013	0.293412066	0.254012108	0.23533755	0.318684778	0.218576694	0.195533408	0.30437058	0.200106737	0.23272663	0.193883113	0.179279371	0.307282231	0.186168716	0.279568456	0.245654178	0.25671566	0.302954614
Kohl-LQ-Groundhog-KPM-G017	0.379791677	0.352564988	0.174574526	0.105394317	0.119913552	0.259674634	0	0.12998219	0.159731287	0.407983792	0.15220741	0.178337242	0.179367956	0.136717295	0.039750096	0.132218515	0.123238836	0.162235138	0.118318755	0.098125646	0.177400135	0.135204109	0.124580145	0.189649384	0.149084544	0.16109894	0.158331024	0.268885261	0.112792517	0.033181634	0.04522684	0.15426853	0.158964458	0.158964775	0.09744104	0.171015925	0.094499277	0.09536544	0.035757554	0.048483007	0.059957168	0.18294844	0.141495475	0.150799781	0.17452942	0.104352337	0.178905699	0.111070826	0.164203836	0.093333444	0.183011083	0.173974071	0.34448524	0.350329648	0.319443906
Kohl-LQ-Groundhog-KPM-G018	0.381299339	0.358722605	0.201590703	0.111717095	0.162895179	0.221936924	0.12998219	0	0.222903457	0.36631591	0.066536998	0.242064634	0.102039379	0.132862316	0.098608038	0.122286925	0.011507799	0.22633901	0.01528193	0.073102475	0.240760955	0.107289504	0.118939693	0.230677648	0.155915842	0.098640192	0.221398826	0.256168897	0.12815437	0.162327788	0.13797965	0.091635432	0.22247932	0.126450598	0.119664671	0.23410553	0.130879485	0.14966503	0.164644463	0.127246443	0.122724353	0.246660015	0.162304787	0.175491628	0.237617047	0.15624699	0.206958637	0.118213378	0.185692759	0.188418707	0.174657931	0.238007786	0.346228047	0.353141659	0.325369034
Kohl-LQ-Groundhog-KPM-G019	0.373404612	0.340425121	0.235741434	0.214815006	0.08801626	0.291517612	0.159731287	0.222903457	0	0.463727218	0.19693439	0.052625813	0.205490278	0.219667801	0.176749743	0.215840684	0.218839509	0.012924024	0.217050628	0.154695329	0.040215298	0.124374202	0.159619335	0.139521056	0.1617424	0.215453439	0.007400543	0.322983142	0.108310014	0.144285653	0.173589694	0.213080162	0.007956429	0.190468394	0.128409128	0.029241948	0.135283353	0.139433358	0.141544888	0.179807928	0.190636801	0.059246394	0.199124673	0.214041833	0.034633827	0.137207307	0.18959442	0.1374982	0.225992903	0.173574741	0.247989583	0.049600588	0.298569714	0.318400319	0.284445885
Kohl-LQ-Groundhog-KPM-G020	0.522613606	0.50144382	0.365228884	0.319276004	0.379315061	0.1821715	0.407983792	0.36631591	0.463727218	0	0.370011902	0.482848733	0.387517733	0.381685466	0.377174082	0.380074989	0.364994772	0.462744729	0.366820837	0.364934294	0.478575703	0.375531805	0.367103149	0.400152055	0.382693875	0.383719958	0.4610681	0.5101092	0.361185729	0.43988798	0.41420805	0.387040635	0.460873188	0.399483706	0.373946729	0.474406001	0.380024625	0.405011731	0.441785708	0.403258589	0.381707212	0.487335351	0.369617473	0.352913917	0.475904034	0.374470554	0.398330981	0.373599311	0.336250154	0.453457482	0.335809478	0.448554431	0.382716179	0.384298976	0.44164898
Kohl-LQ-Groundhog-KPM-G030	0.382461983	0.358944351	0.151887185	0.132028224	0.135252264	0.206468533	0.15220741	0.066536998	0.19693439	0.370011902	0	0.177105805	0.041355124	0.124321797	0.115440516	0.101414093	0.061413626	0.195285887	0.060755318	0.071200117	0.214369589	0.07774461	0.099182417	0.1817845	0.091365791	0.050213721	0.194974182	0.288991835	0.100170751	0.180656424	0.150672798	0.045901493	0.195519227	0.068112222	0.084959728	0.209216155	0.099405673	0.09930162	0.186351815	0.145665997	0.146239762	0.184106701	0.115243903	0.134549698	0.211222295	0.116722914	0.154436909	0.072580579	0.14939544	0.210062026	0.129526642	0.209456685	0.334070418	0.339525486	0.313516828
Kohl-LQ-Groundhog-KPM-G031	0.392108513	0.358885512	0.201694172	0.234090803	0.11206457	0.310664444	0.178337242	0.242064634	0.052625813	0.482848733	0.177105805	0	0.172884619	0.219941508	0.191869446	0.2052617	0.237674039	0.053894669	0.236692847	0.17093474	0.061105608	0.136886817	0.177606368	0.136451549	0.127757949	0.182771507	0.057180002	0.341788254	0.126058096	0.160634843	0.184575714	0.180944888	0.057871341	0.158288586	0.125594778	0.050961263	0.131360067	0.105176052	0.160495988	0.197434723	0.210097033	0.030606046	0.165078473	0.199973309	0.055133874	0.129767353	0.183490454	0.135527942	0.217206112	0.192453355	0.224673756	0.086360686	0.306840594	0.33436642	0.297522854
