	Kohl-Grounhog-KPM-R001	Kohl-Grounhog-KPM-R002	Kohl-Grounhog-KPM-R003	Kohl-Grounhog-KPM-R004	Kohl-Grounhog-KPM-R005	Kohl-Grounhog-KPM-R006	Kohl-Grounhog-KPM-R007	Kohl-Grounhog-KPM-R008	Kohl-Grounhog-KPM-R009	Kohl-Grounhog-KPM-R016	Kohl-Grounhog-KPM-R017	Kohl-Grounhog-KPM-R018	Kohl-Grounhog-KPM-R019	Kohl-Grounhog-KPM-R020	Kohl-Grounhog-KPM-R021	Kohl-Grounhog-KPM-R038	Kohl-Grounhog-KPM-R039	Kohl-Grounhog-KPM-R040	Kohl-Grounhog-KPM-R041	Kohl-Grounhog-KPM-R042	Kohl-Grounhog-KPM-R043	Kohl-Grounhog-KPM-R044	Kohl-Grounhog-KPM-R045	Kohl-Grounhog-KPM-R046	Kohl-Grounhog-KPM-R047	Kohl-Grounhog-KPM-R062	Kohl-Grounhog-KPM-R063	Kohl-Grounhog-KPM-R064	Kohl-Grounhog-KPM-R065	Kohl-Grounhog-KPM-R066	Kohl-Grounhog-KPM-R067	Kohl-Grounhog-KPM-R073	Kohl-Grounhog-KPM-R074	Kohl-Grounhog-KPM-R075	Kohl-Grounhog-KPM-R076	Kohl-Grounhog-KPM-R077	Kohl-Grounhog-KPM-R078	Kohl-Grounhog-KPM-R079	Kohl-Grounhog-KPM-R080	Kohl-Grounhog-KPM-R081	Kohl-Grounhog-KPM-R086	Kohl-Grounhog-KPM-R087	Kohl-Grounhog-KPM-R088	Kohl-Grounhog-KPM-R089	Kohl-Grounhog-KPM-R090	Kohl-Grounhog-KPM-R091	Kohl-Grounhog-KPM-R092	Kohl-Grounhog-KPM-R093	Kohl-Grounhog-KPM-R094	Kohl-Grounhog-KPM-R095	Kohl-Grounhog-KPM-R096	Kohl-Grounhog-KPM-R097	Kohl-Grounhog-KPM-R105	Kohl-Grounhog-KPM-R106	Kohl-Grounhog-KPM-R107	Kohl-Grounhog-KPM-R108	Kohl-Grounhog-KPM-R114	Kohl-Grounhog-KPM-R115	Kohl-Grounhog-KPM-R116	Kohl-Grounhog-KPM-R117	Kohl-Grounhog-KPM-R118	Kohl-Grounhog-KPM-R119	Kohl-Grounhog-KPM-R120	Kohl-Grounhog-KPM-R121	Kohl-Grounhog-KPM-R122	Kohl-Grounhog-KPM-R123	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R001	0	0.003700524	0.247604341	0.208329867	0.089552274	0.01462403	0.019520027	0.014703334	0.172277666	0.25530724	0.261291706	0.256151952	0.097555874	0.093562359	0.103240958	0.214754789	0.028875274	0.014133095	0.028418892	0.021560607	0.174262821	0.122439227	0.101442518	0.207317598	0.088669278	0.248137778	0.205744999	0.151307809	0.247996614	0.198972122	0.138386424	0.111406389	0.124938967	0.267122882	0.270754512	0.106328794	0.161107175	0.268070544	0.268915323	0.25091288	0.123972641	0.149061156	0.170214956	0.122316907	0.270307958	0.12416334	0.094861862	0.258443187	0.184649642	0.153088212	0.163415987	0.26614168	0.097039892	0.110750344	0.110738134	0.110741746	0.046689231	0.190115694	0.05461594	0.03851031	0.073402834	0.065164914	0.067158344	0.264187489	0.080495307	0.077010149	0.394041898	0.372535185
Kohl-Grounhog-KPM-R002	0.003700524	0	0.245281417	0.204811944	0.08722935	0.012310347	0.017224061	0.01251141	0.170576133	0.252984316	0.259707925	0.253829028	0.101116917	0.097123402	0.106784285	0.211236866	0.031814925	0.016950988	0.026122926	0.024521987	0.171949138	0.12016499	0.0990288	0.203799676	0.086373312	0.245814854	0.202813321	0.149011843	0.24567369	0.196658439	0.136080066	0.109339073	0.122871651	0.265539102	0.269170731	0.104261478	0.159039859	0.266294251	0.267331543	0.248796876	0.121977497	0.14699384	0.16814764	0.12024959	0.268724177	0.122096024	0.092794545	0.25637587	0.182582326	0.150813975	0.16134867	0.2645579	0.10070097	0.114429139	0.114416929	0.114420541	0.044672357	0.188531913	0.052548624	0.041549461	0.077103358	0.068405386	0.070326645	0.262603709	0.08419583	0.080350099	0.394053196	0.372546483
Kohl-Grounhog-KPM-R003	0.247604341	0.245281417	0	0.054558055	0.158052067	0.23359762	0.228348561	0.233513108	0.279521734	0.099709429	0.107452189	0.098772155	0.29570155	0.291837657	0.301524464	0.079428216	0.228052199	0.234222302	0.22062039	0.232107198	0.118672761	0.138846496	0.158835324	0.048208276	0.167692339	0.002835806	0.047629742	0.098441428	0.006411719	0.065906122	0.114129274	0.167976508	0.157870467	0.118130052	0.116882165	0.175058803	0.125468781	0.124643715	0.117601261	0.071210031	0.156837414	0.128102163	0.163653395	0.164797292	0.117037552	0.168415779	0.183292381	0.080463734	0.163374947	0.126660873	0.140036729	0.118243532	0.295323398	0.309025642	0.308987507	0.30899112	0.21535178	0.152252374	0.206960223	0.243812549	0.253893972	0.261210909	0.265625949	0.120130778	0.28362677	0.277442479	0.388440737	0.355989907
Kohl-Grounhog-KPM-R004	0.208329867	0.204811944	0.054558055	0	0.126979626	0.198342685	0.19325658	0.207600887	0.294662751	0.119774607	0.127687089	0.118976935	0.305756118	0.301884018	0.311570825	0.037130361	0.219467452	0.211481435	0.198735915	0.21694996	0.12460966	0.117793208	0.145628465	0.009503189	0.154352221	0.055181911	0.037348728	0.086470787	0.055196082	0.10109789	0.091857665	0.178876463	0.168725346	0.135758776	0.137149895	0.185958757	0.139840032	0.143167381	0.135351744	0.097784019	0.168815954	0.148698924	0.180686275	0.175794906	0.136736171	0.179315734	0.192489203	0.10895692	0.179684455	0.14794714	0.157746823	0.135872256	0.305369759	0.319072003	0.319033868	0.319037481	0.225414556	0.169881099	0.213197308	0.23779523	0.264793926	0.267735999	0.27106274	0.137759502	0.287593098	0.283774181	0.399002108	0.366878325
Kohl-Grounhog-KPM-R005	0.089552274	0.08722935	0.158052067	0.126979626	0	0.075545553	0.070304701	0.080621261	0.174743856	0.196443197	0.204355678	0.195645525	0.178809323	0.174904392	0.184591199	0.1356539	0.092496034	0.084510017	0.07178912	0.090003165	0.100267501	0.047026736	0.029866658	0.125967357	0.035570825	0.158643465	0.135863401	0.073251116	0.158657637	0.120923638	0.060301314	0.063688351	0.056465254	0.210186855	0.213818484	0.069539763	0.088237612	0.21193789	0.211987503	0.177875545	0.057441312	0.082217779	0.100334482	0.064788331	0.21337193	0.0632484	0.075436258	0.188274915	0.116276129	0.082230034	0.095643118	0.209205653	0.178390133	0.192092377	0.19206245	0.192066063	0.099742765	0.133110813	0.088685381	0.110848435	0.143642905	0.140789204	0.144115945	0.207161558	0.160646303	0.156827386	0.385924019	0.362470125
Kohl-Grounhog-KPM-R006	0.01462403	0.012310347	0.23359762	0.198342685	0.075545553	0	0.005317694	0.012447094	0.165804489	0.246906047	0.254818529	0.246108375	0.107918139	0.103893549	0.113515587	0.204767607	0.031750609	0.016886672	0.014326243	0.024457671	0.160042771	0.108258623	0.087240185	0.197330417	0.074466945	0.234131057	0.195725697	0.137105476	0.233989893	0.184752073	0.124173699	0.099654825	0.113187403	0.260649705	0.264281335	0.09457723	0.149355611	0.259110151	0.262442146	0.239335199	0.11291327	0.137309592	0.158463392	0.110565343	0.263834781	0.112411776	0.083110298	0.246691623	0.172898078	0.139448673	0.151664423	0.259668503	0.107431054	0.121159222	0.121147012	0.121150625	0.043553909	0.183642517	0.043389262	0.043732667	0.083833441	0.07118321	0.074053256	0.257714312	0.090925914	0.087014401	0.392285748	0.370779036
Kohl-Grounhog-KPM-R007	0.019520027	0.017224061	0.228348561	0.19325658	0.070304701	0.005317694	0	0.014803366	0.16298356	0.244049155	0.251961637	0.243251484	0.112661344	0.108693753	0.118380561	0.199681502	0.034055033	0.019191095	0.012047391	0.026762095	0.154843242	0.102942809	0.081988807	0.192244312	0.069215567	0.228881998	0.190676791	0.131880022	0.228740834	0.179552543	0.11895952	0.095174754	0.108707332	0.257792813	0.261424443	0.090097159	0.14487554	0.255516376	0.25960167	0.234857446	0.108652994	0.132829521	0.153983321	0.106085271	0.260986096	0.107931704	0.078630226	0.242211551	0.168418006	0.134968602	0.147184351	0.256811611	0.112179494	0.125881739	0.125843604	0.125847217	0.046849435	0.18080204	0.039128986	0.046808398	0.088530033	0.075035006	0.078749848	0.25485742	0.095622506	0.091710993	0.391775344	0.370252217
Kohl-Grounhog-KPM-R008	0.014703334	0.01251141	0.233513108	0.207600887	0.080621261	0.012447094	0.014803366	0	0.168504889	0.249606447	0.257518929	0.248808775	0.09830257	0.094309056	0.103969938	0.214025809	0.019303515	0.004439578	0.013733275	0.012040162	0.159559487	0.107775339	0.086756901	0.206588618	0.073983661	0.234046546	0.204983899	0.136622192	0.233905381	0.184268789	0.123690415	0.10006948	0.113602058	0.263350105	0.266981735	0.094991885	0.149770266	0.260556613	0.265142546	0.240148626	0.113583807	0.13773737	0.158878047	0.110979998	0.26653518	0.112826431	0.083524953	0.247106278	0.173312733	0.139863328	0.152079078	0.262368903	0.097768872	0.111497041	0.111484831	0.111488443	0.036278667	0.186342916	0.044059798	0.032183513	0.074171259	0.060676233	0.064391074	0.260414712	0.081263732	0.077352219	0.391206894	0.369700181
Kohl-Grounhog-KPM-R009	0.172277666	0.170576133	0.279521734	0.294662751	0.174743856	0.165804489	0.16298356	0.168504889	0	0.27862917	0.281355935	0.280073039	0.213343901	0.210796448	0.217418055	0.292449913	0.170399261	0.169734843	0.161557751	0.169454222	0.239265849	0.206151741	0.177182182	0.28804571	0.164866504	0.279749615	0.307985388	0.236475576	0.281192798	0.25380014	0.226017083	0.152078684	0.167612621	0.280227622	0.283900893	0.154015656	0.197410667	0.314954123	0.282141413	0.272729378	0.169823663	0.198730762	0.217346036	0.16964243	0.283534447	0.159990732	0.159573328	0.303106219	0.234320466	0.204980458	0.212108011	0.279158809	0.212260833	0.223504147	0.223466012	0.223469625	0.156468759	0.204121462	0.150388063	0.176686161	0.164626394	0.18826516	0.19045135	0.277257027	0.19299215	0.188838983	0.374892933	0.355750744
Kohl-Grounhog-KPM-R016	0.25530724	0.252984316	0.099709429	0.119774607	0.196443197	0.246906047	0.244049155	0.249606447	0.27862917	0	0.008725037	0.002245278	0.302263769	0.298508512	0.308086683	0.112303085	0.25153064	0.250836401	0.242727235	0.250653527	0.17711321	0.190124096	0.207507946	0.113758846	0.214158963	0.100973549	0.142395153	0.175555327	0.098805619	0.159655657	0.183277882	0.205622088	0.200792586	0.018428831	0.018155012	0.212020187	0.17475963	0.157628363	0.01790004	0.117617281	0.198734773	0.181961751	0.215206289	0.2086381	0.017823365	0.202152567	0.220663725	0.143905498	0.218605535	0.185630693	0.191056819	0.018542311	0.301885617	0.315587861	0.315766999	0.315763386	0.241490322	0.076601449	0.235019083	0.258794354	0.260447983	0.273041698	0.275558177	0.020706267	0.291329669	0.285145379	0.395919176	0.362966743
Kohl-Grounhog-KPM-R017	0.261291706	0.259707925	0.107452189	0.127687089	0.204355678	0.254818529	0.251961637	0.257518929	0.281355935	0.008725037	0	0.008923552	0.304177979	0.300821055	0.310000893	0.120352204	0.259443121	0.258748883	0.250639717	0.258566008	0.185025692	0.198036578	0.215420427	0.121388056	0.222071445	0.108602759	0.149211808	0.183467808	0.106021736	0.167568138	0.191190364	0.212413102	0.2075836	0.010799621	0.009462806	0.218811201	0.181550644	0.161523997	0.01027083	0.123688933	0.204203141	0.188227477	0.221184748	0.215297792	0.009707121	0.208943581	0.227518697	0.149699224	0.224592202	0.193772988	0.197183016	0.010913101	0.304227409	0.317502071	0.317681209	0.317677596	0.246917651	0.078515659	0.2410944	0.266188107	0.263509331	0.278608544	0.28176645	0.013077058	0.294311489	0.290564001	0.397833386	0.364536725
Kohl-Grounhog-KPM-R018	0.256151952	0.253829028	0.098772155	0.118976935	0.195645525	0.246108375	0.243251484	0.248808775	0.280073039	0.002245278	0.008923552	0	0.303108481	0.299353224	0.308931395	0.111567125	0.250732968	0.25003873	0.241929563	0.249855855	0.176315539	0.189326424	0.206710274	0.11282978	0.213361291	0.100044483	0.14086693	0.174757655	0.097277396	0.158857985	0.18248021	0.205953126	0.201123625	0.019357897	0.018353527	0.212351226	0.175090669	0.157968746	0.018829106	0.117468745	0.19861756	0.181767501	0.214938171	0.208837817	0.018265397	0.202483605	0.220395606	0.14345795	0.218337417	0.184849436	0.190788701	0.019471377	0.302730329	0.316432573	0.316611711	0.316608098	0.241373108	0.077446161	0.23490187	0.258526236	0.261891852	0.272924484	0.275381926	0.021635334	0.292404195	0.286195281	0.396763888	0.36358197
Kohl-Grounhog-KPM-R019	0.097555874	0.101116917	0.29570155	0.305756118	0.178809323	0.107918139	0.112661344	0.09830257	0.213343901	0.302263769	0.304177979	0.303108481	0	0.004925627	0.007171271	0.312172833	0.086525772	0.094412911	0.107482455	0.090657682	0.232839669	0.200642076	0.171350909	0.304735642	0.159042118	0.295148625	0.303201543	0.231031477	0.296039505	0.246982342	0.220600665	0.151124314	0.165595737	0.306009197	0.309829159	0.145225991	0.201149663	0.304650725	0.307937189	0.291467604	0.164114706	0.191206981	0.210112816	0.163771796	0.309298072	0.165531395	0.139494591	0.296984836	0.228271748	0.196203816	0.203264341	0.3048458	0.012516611	0.016897917	0.017054031	0.017050419	0.087424194	0.229328441	0.099148661	0.073854529	0.056519087	0.044806787	0.037955733	0.303449714	0.03214797	0.035457149	0.393229014	0.37103134
Kohl-Grounhog-KPM-R020	0.093562359	0.097123402	0.291837657	0.301884018	0.174904392	0.103893549	0.108693753	0.094309056	0.210796448	0.298508512	0.300821055	0.299353224	0.004925627	0	0.011823802	0.308202867	0.082558181	0.090452645	0.103606809	0.086704349	0.228770055	0.196652784	0.167400283	0.30087175	0.155178225	0.29133905	0.299215354	0.226879398	0.292175612	0.242988827	0.216643775	0.146966826	0.161106163	0.303750483	0.307578653	0.140953418	0.196981541	0.301717842	0.305645645	0.287223933	0.160533227	0.186710081	0.205724587	0.159274932	0.307006528	0.161804901	0.135274893	0.29273053	0.223782174	0.191725436	0.19876015	0.302437997	0.009599711	0.021550632	0.021654013	0.021654013	0.083704644	0.226948042	0.094907423	0.069588748	0.052871062	0.040918351	0.033697242	0.30100427	0.028541386	0.031344919	0.39264265	0.370482628
Kohl-Grounhog-KPM-R021	0.103240958	0.106784285	0.301524464	0.311570825	0.184591199	0.113515587	0.118380561	0.103969938	0.217418055	0.308086683	0.310000893	0.308931395	0.007171271	0.011823802	0	0.317995747	0.09230463	0.100139453	0.113445977	0.096641602	0.238665983	0.206727809	0.177425595	0.310558557	0.164889106	0.300971539	0.308953837	0.236856437	0.301862419	0.252670978	0.226371624	0.157721155	0.172382874	0.309901438	0.313716022	0.151992566	0.20782511	0.310952833	0.311848033	0.298144843	0.169886935	0.198053759	0.216909446	0.170564781	0.313258034	0.171533302	0.145814602	0.30376151	0.235082959	0.202996801	0.210064616	0.30894818	0.017227212	0.009936053	0.010095147	0.010091534	0.093064508	0.233200595	0.105717298	0.08058149	0.062318244	0.050847667	0.044676845	0.307323466	0.037811785	0.042119706	0.394684634	0.372993247
Kohl-Grounhog-KPM-R038	0.214754789	0.211236866	0.079428216	0.037130361	0.1356539	0.204767607	0.199681502	0.214025809	0.292449913	0.112303085	0.120352204	0.111567125	0.312172833	0.308202867	0.317995747	0	0.225892374	0.217885453	0.20515263	0.223128176	0.148540916	0.141312683	0.16462489	0.038139447	0.171167271	0.080382182	0.072178502	0.123601148	0.081131909	0.138228251	0.1288626	0.195239328	0.189362707	0.130731916	0.12978218	0.202283693	0.164376871	0.158832278	0.130203126	0.108420279	0.192032839	0.172694072	0.205906937	0.198746989	0.129727478	0.191769807	0.210041927	0.134019754	0.20593846	0.174524108	0.181933504	0.13077737	0.311794681	0.325496925	0.325458791	0.325462403	0.234415487	0.16484147	0.223218574	0.244097038	0.269619243	0.273988561	0.277208603	0.132724549	0.293525563	0.289731269	0.404604337	0.372142778
Kohl-Grounhog-KPM-R039	0.028875274	0.031814925	0.228052199	0.219467452	0.092496034	0.031750609	0.034055033	0.019303515	0.170399261	0.25153064	0.259443121	0.250732968	0.086525772	0.082558181	0.09230463	0.225892374	0	0.014921325	0.022794241	0.009276528	0.153236557	0.114445512	0.085273731	0.218455183	0.072713512	0.228585636	0.2167982	0.144778988	0.228444472	0.178124782	0.134104193	0.096032336	0.109766171	0.265274297	0.268905927	0.090977074	0.146293737	0.25923127	0.266881897	0.236931722	0.110348209	0.134412852	0.154969939	0.10707189	0.26833341	0.109305503	0.079616845	0.24323428	0.169404625	0.13595522	0.14817097	0.264091839	0.085902307	0.099805808	0.099767673	0.099771286	0.033043069	0.188283524	0.040717497	0.01880034	0.062855193	0.048886855	0.052673917	0.262338905	0.069534538	0.065562841	0.388600522	0.367077394
Kohl-Grounhog-KPM-R040	0.014133095	0.016950988	0.234222302	0.211481435	0.084510017	0.016886672	0.019191095	0.004439578	0.169734843	0.250836401	0.258748883	0.25003873	0.094412911	0.090452645	0.100139453	0.217885453	0.014921325	0	0.014335859	0.007857743	0.160221245	0.108377923	0.087359485	0.210469167	0.074586245	0.23475574	0.208858908	0.137258025	0.234614575	0.184930546	0.12626937	0.100833233	0.114365811	0.264580059	0.268211689	0.095755638	0.150534019	0.261505562	0.266388916	0.241039893	0.114393487	0.138547049	0.1596418	0.11174375	0.267773342	0.113590183	0.084288705	0.24787003	0.174076486	0.140627081	0.15284283	0.263598857	0.093938386	0.10764063	0.107602496	0.107606109	0.037088347	0.187589286	0.044869478	0.027955166	0.0702816	0.056786573	0.060501415	0.261644666	0.077374073	0.073462559	0.390801221	0.369328156
