	Kohl-Grounhog-KPM-R010	Kohl-Grounhog-KPM-R011	Kohl-Grounhog-KPM-R012	Kohl-Grounhog-KPM-R013	Kohl-Grounhog-KPM-R014	Kohl-Grounhog-KPM-R015	Kohl-Grounhog-KPM-R022	Kohl-Grounhog-KPM-R023	Kohl-Grounhog-KPM-R024	Kohl-Grounhog-KPM-R025	Kohl-Grounhog-KPM-R026	Kohl-Grounhog-KPM-R027	Kohl-Grounhog-KPM-R028	Kohl-Grounhog-KPM-R029	Kohl-Grounhog-KPM-R030	Kohl-Grounhog-KPM-R031	Kohl-Grounhog-KPM-R032	Kohl-Grounhog-KPM-R033	Kohl-Grounhog-KPM-R034	Kohl-Grounhog-KPM-R035	Kohl-Grounhog-KPM-R036	Kohl-Grounhog-KPM-R037	Kohl-Grounhog-KPM-R048	Kohl-Grounhog-KPM-R049	Kohl-Grounhog-KPM-R050	Kohl-Grounhog-KPM-R051	Kohl-Grounhog-KPM-R052	Kohl-Grounhog-KPM-R053	Kohl-Grounhog-KPM-R054	Kohl-Grounhog-KPM-R055	Kohl-Grounhog-KPM-R056	Kohl-Grounhog-KPM-R057	Kohl-Grounhog-KPM-R058	Kohl-Grounhog-KPM-R059	Kohl-Grounhog-KPM-R060	Kohl-Grounhog-KPM-R061	Kohl-Grounhog-KPM-R068	Kohl-Grounhog-KPM-R069	Kohl-Grounhog-KPM-R070	Kohl-Grounhog-KPM-R071	Kohl-Grounhog-KPM-R072	Kohl-Grounhog-KPM-R082	Kohl-Grounhog-KPM-R083	Kohl-Grounhog-KPM-R084	Kohl-Grounhog-KPM-R085	Kohl-Grounhog-KPM-R098	Kohl-Grounhog-KPM-R099	Kohl-Grounhog-KPM-R100	Kohl-Grounhog-KPM-R101	Kohl-Grounhog-KPM-R102	Kohl-Grounhog-KPM-R103	Kohl-Grounhog-KPM-R104	Kohl-Grounhog-KPM-R109	Kohl-Grounhog-KPM-R110	Kohl-Grounhog-KPM-R111	Kohl-Grounhog-KPM-R112	Kohl-Grounhog-KPM-R113	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R010	0	0.041496559	0.161768233	0.05901111	0.142107413	0.138139042	0.160847447	0.161502967	0.243242333	0.23116734	0.151185768	0.151749992	0.250797728	0.155022419	0.143044199	0.166127287	0.170430444	0.164487997	0.171973915	0.189565064	0.247907152	0.237278509	0.226836369	0.226011177	0.219582047	0.200408581	0.252406396	0.191177558	0.252274098	0.165170613	0.190308806	0.177808315	0.234510403	0.156136948	0.218486691	0.25832875	0.044955362	0.05763997	0.160932087	0.157572314	0.115408323	0.160627417	0.248507321	0.171017568	0.125958043	0.181594627	0.158406928	0.20172519	0.150596526	0.159568474	0.195765554	0.166843908	0.11707315	0.157027525	0.162461203	0.236287858	0.188335246	0.347988239	0.329011676
Kohl-Grounhog-KPM-R011	0.041496559	0	0.202636974	0.100059037	0.182961503	0.179130811	0.201701536	0.202357056	0.265690363	0.25360952	0.177246494	0.184472672	0.285827033	0.179053709	0.165330661	0.19160952	0.195947097	0.190004651	0.197490569	0.22409098	0.282936457	0.272307813	0.253358236	0.252450085	0.254107171	0.234909159	0.287450353	0.225732455	0.287318055	0.197987353	0.224833929	0.212365052	0.269051882	0.190662071	0.253007241	0.293372707	0.046986563	0.098518604	0.201786176	0.198442767	0.156277064	0.201481506	0.283014976	0.211871657	0.166812132	0.204033991	0.139552615	0.240740771	0.113632632	0.182007837	0.234781134	0.129847304	0.139528878	0.136650756	0.125359252	0.195127346	0.150767837	0.370420073	0.34916134
Kohl-Grounhog-KPM-R012	0.161768233	0.202636974	0	0.103173411	0.027868868	0.02730876	0.00914417	0.008312825	0.297396919	0.300579148	0.20553363	0.208416613	0.132223411	0.212391171	0.229467168	0.215023976	0.218941144	0.205810738	0.21429431	0.17993229	0.128979928	0.119267814	0.195960871	0.193112566	0.15472459	0.160725757	0.134598503	0.184005268	0.133837136	0.185137768	0.16115685	0.175484133	0.176769275	0.178343719	0.170916182	0.139579343	0.158132505	0.104770125	0.007700713	0.0101051	0.049624889	0.007835106	0.136307937	0.02580997	0.038925971	0.267050583	0.307974256	0.057774758	0.305490985	0.274263402	0.064693659	0.32313604	0.208930634	0.205894459	0.319205792	0.393566794	0.345520135	0.366718212	0.338460583
Kohl-Grounhog-KPM-R013	0.05901111	0.100059037	0.103173411	0	0.08349794	0.079529568	0.102237973	0.102893493	0.25031348	0.238251398	0.158444618	0.15885679	0.205694872	0.162239368	0.150899062	0.17252702	0.177201803	0.167158657	0.176037266	0.156353489	0.202804295	0.192175652	0.201803906	0.200895755	0.175726297	0.156528284	0.207869981	0.159698912	0.207185893	0.149742801	0.146453055	0.144521207	0.191127668	0.133051414	0.177595487	0.213240546	0.059122608	0.004097835	0.102322613	0.098979204	0.056813501	0.102017943	0.204612372	0.115551616	0.067348569	0.188635379	0.212953466	0.14739189	0.207071896	0.178564528	0.141432254	0.224430751	0.124130266	0.158377507	0.220497223	0.294896767	0.246814847	0.342991749	0.322630068
Kohl-Grounhog-KPM-R014	0.142107413	0.182961503	0.027868868	0.08349794	0	0.006120343	0.02413632	0.025481041	0.27740064	0.280700676	0.188515202	0.190002536	0.145734962	0.196562827	0.211512778	0.201327242	0.205188196	0.19205779	0.200621149	0.166179342	0.136753457	0.126106136	0.182090117	0.179359618	0.140971643	0.14697281	0.149496364	0.17025232	0.145489387	0.17138482	0.147403903	0.161731185	0.187275122	0.164583445	0.157169717	0.155807532	0.138389449	0.085009275	0.028792925	0.03120969	0.032625741	0.029051012	0.149308869	0.034962198	0.01676236	0.24602552	0.285601999	0.06683962	0.278041857	0.24899951	0.061181976	0.295524386	0.181495536	0.189127555	0.291594138	0.36595514	0.317961988	0.370598887	0.338891084
Kohl-Grounhog-KPM-R015	0.138139042	0.179130811	0.02730876	0.079529568	0.006120343	0	0.023775112	0.025105523	0.273694316	0.276876545	0.184118573	0.185424333	0.145243	0.192122304	0.207072255	0.196749039	0.200609993	0.187479588	0.196042946	0.161738819	0.139957661	0.129241106	0.1777674	0.174919095	0.136531119	0.142532286	0.148886162	0.165764696	0.144938527	0.166944297	0.142963379	0.157234503	0.185586042	0.160142922	0.155171589	0.15519733	0.133948925	0.080991566	0.028358237	0.030834172	0.02880161	0.028675494	0.149048712	0.040784187	0.012480248	0.241584997	0.281161475	0.072691429	0.278466296	0.247717664	0.067033785	0.296565217	0.182085931	0.19181828	0.292620177	0.366936801	0.319002819	0.369002188	0.337546505
Kohl-Grounhog-KPM-R022	0.160847447	0.201701536	0.00914417	0.102237973	0.02413632	0.023775112	0	0.001890536	0.295931381	0.299447271	0.207265204	0.208822571	0.132348312	0.215382862	0.230332814	0.220147277	0.224008231	0.210877826	0.219441184	0.185002695	0.127025284	0.116573032	0.200762437	0.198179653	0.159791678	0.165792845	0.136420385	0.189072355	0.132888119	0.190204855	0.166223938	0.180523106	0.184384883	0.183403481	0.175983269	0.143019254	0.157263802	0.10382931	0.006191515	0.00865036	0.051372336	0.006553378	0.136204877	0.021338121	0.035091759	0.264845556	0.304412973	0.053100546	0.301734067	0.270255733	0.060737021	0.319077964	0.205034836	0.20264875	0.31523436	0.389622393	0.34150485	0.372880677	0.339797964
Kohl-Grounhog-KPM-R023	0.161502967	0.202357056	0.008312825	0.102893493	0.025481041	0.025105523	0.001890536	0	0.296893089	0.300054407	0.208111994	0.209555433	0.131427643	0.216115724	0.231065676	0.220880139	0.224741093	0.211610688	0.220174046	0.185735558	0.126756483	0.116304231	0.201760821	0.198912515	0.16049488	0.166525707	0.136003192	0.189805217	0.13318288	0.190908057	0.16689748	0.181284082	0.18424594	0.184136343	0.176716131	0.142673986	0.157942346	0.104562172	0.004490322	0.006823441	0.05202293	0.004768282	0.135244675	0.020587171	0.036377417	0.265578418	0.305602143	0.052327668	0.303118797	0.271514737	0.061996025	0.320391286	0.20638998	0.203537985	0.316529068	0.390952805	0.342785393	0.373222131	0.340107211
Kohl-Grounhog-KPM-R024	0.243242333	0.265690363	0.297396919	0.25031348	0.27740064	0.273694316	0.295931381	0.296893089	0	0.03139041	0.192481477	0.204610691	0.341063289	0.189661664	0.200814702	0.204146322	0.19821448	0.222699246	0.210906127	0.262042998	0.340898202	0.336182542	0.284773553	0.288350433	0.292584334	0.272730273	0.3338467	0.267778024	0.338064709	0.233318126	0.262083718	0.248146815	0.335316537	0.231352012	0.29221336	0.338610557	0.285968039	0.249012609	0.296295363	0.295151066	0.259153124	0.296054634	0.321097069	0.306418654	0.261460956	0.090981885	0.153481199	0.320732006	0.200658418	0.092134616	0.312228887	0.239772131	0.160625339	0.385282702	0.214098516	0.265299446	0.266951875	0.39728484	0.375946343
Kohl-Grounhog-KPM-R025	0.23116734	0.25360952	0.300579148	0.238251398	0.280700676	0.276876545	0.299447271	0.300054407	0.03139041	0	0.194015557	0.205135702	0.345386198	0.1870935	0.189874539	0.206992501	0.201988617	0.227022155	0.215229036	0.266365907	0.345221112	0.340505452	0.289709888	0.292673343	0.296486291	0.277053182	0.338169609	0.267735525	0.342387618	0.23772804	0.265749439	0.252491263	0.324361938	0.231266946	0.294284967	0.342933466	0.273887197	0.236986085	0.29953191	0.296116468	0.25435298	0.299220679	0.324387934	0.309590935	0.26457845	0.080452457	0.14250736	0.323893324	0.190734489	0.079971055	0.315390204	0.229816362	0.150095911	0.374226275	0.203033907	0.254234837	0.258078293	0.387730926	0.367967453
