 Culture Date	Culture Condition	Replicate 	Serial Dilution	animal	Culture Media	preservation	Avg [Bact]	CFU/ml	density
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	BHI	Cary blair	252	120000000	100800000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	BHI	Cary blair	252	120000000	100800000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	MH	Cary blair	294	140000000	117600000
10/10/20	Anaerobic	r2	3-Oct	groundhog 1	MH	Cary blair	295	140476190	118000000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	GMM	Cary blair	331	157619048	132400000
10/10/20	Anaerobic	r2	3-Oct	groundhog 1	BHI	Cary blair	388	184761905	155200000
10/10/20	Anaerobic	r2	2-Oct	groundhog 1	GMM	Cary blair	692	32952381	27680000
10/10/20	Anaerobic	r2	4-Oct	groundhog 1	BHI	Preservation-free	66	347368421	264000000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	MH	Preservation-free	342	180000000	136800000
10/10/20	Anaerobic	r2	3-Oct	groundhog 1	BHI	Preservation-free	544	286315789	217600000
10/5/20	Anaerobic	r1	4-Oct	groundhog 1	BHI	Buffered glycerol	69	405882353	276000000
10/5/20	Anaerobic	r2	4-Oct	groundhog 1	BHI	Buffered glycerol	69	405882353	276000000
10/5/20	Anaerobic	r3	3-Oct	groundhog 1	GMM	Buffered glycerol	287	168823529	114800000
10/5/20	Anaerobic	r3	3-Oct	groundhog 1	GMM	Buffered glycerol	287	168823529	114800000
10/5/20	Anaerobic	r2	3-Oct	groundhog 1	GMM	Buffered glycerol	315	185294118	126000000
10/5/20	Anaerobic	r3	3-Oct	groundhog 1	BHI	Buffered glycerol	348	204705882	139200000
10/5/20	Anaerobic	r2	3-Oct	groundhog 1	BHI	Buffered glycerol	812	477647059	324800000
10/10/20	Anaerobic	r2	4-Oct	groundhog 1	BHI	Protectant	130	1000000000	520000000
10/10/20	Anaerobic	r2	3-Oct	groundhog 1	MH	Protectant	211	162307692	84400000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	BHI	Protectant	267	205384615	106800000
10/10/20	Anaerobic	r1	3-Oct	groundhog 1	GMM	Protectant	331	254615385	132400000
10/5/20	Anaerobic	r2	3-Oct	groundhog 1	BHI	Stuart	103	68666667	41200000
10/5/20	Anaerobic	r3	3-Oct	groundhog 1	BHI	Stuart	213	142000000	85200000
10/5/20	Anaerobic	r1	3-Oct	groundhog 1	BHI	Stuart	247	164666667	98800000
10/5/20	Anaerobic	r2	2-Oct	groundhog 1	GMM	Stuart	668	44533333	26720000
10/5/20	Anaerobic	r1	2-Oct	groundhog 1	GMM	Stuart	748	49866667	29920000
11/16/20	Anaerobic	r2	2-Oct	groundhog 2	BHI	Cary blair	876	38086957	35040000
11/16/20	Anaerobic	r2	3-Oct	groundhog 2	MH	Cary blair	968	420869565	387200000
9/15/20	Anaerobic	r3	1-Oct	groundhog 2	BHI	Immediately cultured	353	2206250	1412000
9/15/20	Anaerobic	r3	3-Oct	groundhog 2	MH	Immediately cultured	359	224375000	143600000
9/15/20	Anaerobic	r3	3-Oct	groundhog 2	MH	Immediately cultured	359	224375000	143600000
9/15/20	Anaerobic	r1	3-Oct	groundhog 2	MH	Immediately cultured	367	229375000	146800000
