# Constructed from biom file																																																																																																																																																																																																																																						
#OTU ID	Kohl-Grounhog-KPM-R001	Kohl-Grounhog-KPM-R002	Kohl-Grounhog-KPM-R003	Kohl-Grounhog-KPM-R004	Kohl-Grounhog-KPM-R005	Kohl-Grounhog-KPM-R006	Kohl-Grounhog-KPM-R007	Kohl-Grounhog-KPM-R008	Kohl-Grounhog-KPM-R009	Kohl-Grounhog-KPM-R010	Kohl-Grounhog-KPM-R011	Kohl-Grounhog-KPM-R012	Kohl-Grounhog-KPM-R013	Kohl-Grounhog-KPM-R014	Kohl-Grounhog-KPM-R015	Kohl-Grounhog-KPM-R016	Kohl-Grounhog-KPM-R017	Kohl-Grounhog-KPM-R018	Kohl-Grounhog-KPM-R019	Kohl-Grounhog-KPM-R020	Kohl-Grounhog-KPM-R021	Kohl-Grounhog-KPM-R022	Kohl-Grounhog-KPM-R023	Kohl-Grounhog-KPM-R024	Kohl-Grounhog-KPM-R025	Kohl-Grounhog-KPM-R026	Kohl-Grounhog-KPM-R027	Kohl-Grounhog-KPM-R028	Kohl-Grounhog-KPM-R029	Kohl-Grounhog-KPM-R030	Kohl-Grounhog-KPM-R031	Kohl-Grounhog-KPM-R032	Kohl-Grounhog-KPM-R033	Kohl-Grounhog-KPM-R034	Kohl-Grounhog-KPM-R035	Kohl-Grounhog-KPM-R036	Kohl-Grounhog-KPM-R037	Kohl-Grounhog-KPM-R038	Kohl-Grounhog-KPM-R039	Kohl-Grounhog-KPM-R040	Kohl-Grounhog-KPM-R041	Kohl-Grounhog-KPM-R042	Kohl-Grounhog-KPM-R043	Kohl-Grounhog-KPM-R044	Kohl-Grounhog-KPM-R045	Kohl-Grounhog-KPM-R046	Kohl-Grounhog-KPM-R047	Kohl-Grounhog-KPM-R048	Kohl-Grounhog-KPM-R049	Kohl-Grounhog-KPM-R050	Kohl-Grounhog-KPM-R051	Kohl-Grounhog-KPM-R052	Kohl-Grounhog-KPM-R053	Kohl-Grounhog-KPM-R054	Kohl-Grounhog-KPM-R055	Kohl-Grounhog-KPM-R056	Kohl-Grounhog-KPM-R057	Kohl-Grounhog-KPM-R058	Kohl-Grounhog-KPM-R059	Kohl-Grounhog-KPM-R060	Kohl-Grounhog-KPM-R061	Kohl-Grounhog-KPM-R062	Kohl-Grounhog-KPM-R063	Kohl-Grounhog-KPM-R064	Kohl-Grounhog-KPM-R065	Kohl-Grounhog-KPM-R066	Kohl-Grounhog-KPM-R067	Kohl-Grounhog-KPM-R068	Kohl-Grounhog-KPM-R069	Kohl-Grounhog-KPM-R070	Kohl-Grounhog-KPM-R071	Kohl-Grounhog-KPM-R072	Kohl-Grounhog-KPM-R073	Kohl-Grounhog-KPM-R074	Kohl-Grounhog-KPM-R075	Kohl-Grounhog-KPM-R076	Kohl-Grounhog-KPM-R077	Kohl-Grounhog-KPM-R078	Kohl-Grounhog-KPM-R079	Kohl-Grounhog-KPM-R080	Kohl-Grounhog-KPM-R081	Kohl-Grounhog-KPM-R082	Kohl-Grounhog-KPM-R083	Kohl-Grounhog-KPM-R084	Kohl-Grounhog-KPM-R085	Kohl-Grounhog-KPM-R086	Kohl-Grounhog-KPM-R087	Kohl-Grounhog-KPM-R088	Kohl-Grounhog-KPM-R089	Kohl-Grounhog-KPM-R090	Kohl-Grounhog-KPM-R091	Kohl-Grounhog-KPM-R092	Kohl-Grounhog-KPM-R093	Kohl-Grounhog-KPM-R094	Kohl-Grounhog-KPM-R095	Kohl-Grounhog-KPM-R096	Kohl-Grounhog-KPM-R097	Kohl-Grounhog-KPM-R098	Kohl-Grounhog-KPM-R099	Kohl-Grounhog-KPM-R100	Kohl-Grounhog-KPM-R101	Kohl-Grounhog-KPM-R102	Kohl-Grounhog-KPM-R103	Kohl-Grounhog-KPM-R104	Kohl-Grounhog-KPM-R105	Kohl-Grounhog-KPM-R106	Kohl-Grounhog-KPM-R107	Kohl-Grounhog-KPM-R108	Kohl-Grounhog-KPM-R109	Kohl-Grounhog-KPM-R110	Kohl-Grounhog-KPM-R111	Kohl-Grounhog-KPM-R112	Kohl-Grounhog-KPM-R113	Kohl-Grounhog-KPM-R114	Kohl-Grounhog-KPM-R115	Kohl-Grounhog-KPM-R116	Kohl-Grounhog-KPM-R117	Kohl-Grounhog-KPM-R118	Kohl-Grounhog-KPM-R119	Kohl-Grounhog-KPM-R120	Kohl-Grounhog-KPM-R121	Kohl-Grounhog-KPM-R122	Kohl-Grounhog-KPM-R123	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G004	Kohl-LQ-Groundhog-KPM-G005	Kohl-LQ-Groundhog-KPM-G006	Kohl-LQ-Groundhog-KPM-G007	Kohl-LQ-Groundhog-KPM-G008	Kohl-LQ-Groundhog-KPM-G009	Kohl-LQ-Groundhog-KPM-G010	Kohl-LQ-Groundhog-KPM-G011	Kohl-LQ-Groundhog-KPM-G013	Kohl-LQ-Groundhog-KPM-G014	Kohl-LQ-Groundhog-KPM-G015	Kohl-LQ-Groundhog-KPM-G016	Kohl-LQ-Groundhog-KPM-G017	Kohl-LQ-Groundhog-KPM-G018	Kohl-LQ-Groundhog-KPM-G019	Kohl-LQ-Groundhog-KPM-G020	Kohl-LQ-Groundhog-KPM-G021	Kohl-LQ-Groundhog-KPM-G022	Kohl-LQ-Groundhog-KPM-G023	Kohl-LQ-Groundhog-KPM-G025	Kohl-LQ-Groundhog-KPM-G026	Kohl-LQ-Groundhog-KPM-G027	Kohl-LQ-Groundhog-KPM-G028	Kohl-LQ-Groundhog-KPM-G029	Kohl-LQ-Groundhog-KPM-G030	Kohl-LQ-Groundhog-KPM-G031	Kohl-LQ-Groundhog-KPM-G032	Kohl-LQ-Groundhog-KPM-G033	Kohl-LQ-Groundhog-KPM-G034	Kohl-LQ-Groundhog-KPM-G035	Kohl-LQ-Groundhog-KPM-G036	Kohl-LQ-Groundhog-KPM-G037	Kohl-LQ-Groundhog-KPM-G038	Kohl-LQ-Groundhog-KPM-G039	Kohl-LQ-Groundhog-KPM-G040	Kohl-LQ-Groundhog-KPM-G041	Kohl-LQ-Groundhog-KPM-G042	Kohl-LQ-Groundhog-KPM-G043	Kohl-LQ-Groundhog-KPM-G044	Kohl-LQ-Groundhog-KPM-G045	Kohl-LQ-Groundhog-KPM-G046	Kohl-LQ-Groundhog-KPM-G047	Kohl-LQ-Groundhog-KPM-G048	Kohl-LQ-Groundhog-KPM-G049	Kohl-LQ-Groundhog-KPM-G050	Kohl-LQ-Groundhog-KPM-G051	Kohl-LQ-Groundhog-KPM-G052	Kohl-LQ-Groundhog-KPM-G053	Kohl-LQ-Groundhog-KPM-G054	Kohl-LQ-Groundhog-KPM-G055	Kohl-LQ-Groundhog-KPM-G056	Kohl-LQ-Groundhog-KPM-G057	Kohl-LQ-Groundhog-KPM-G058	Kohl-LQ-Groundhog-KPM-G059	Kohl-LQ-Groundhog-KPM-G060	Kohl-LQ-Groundhog-KPM-G061	Kohl-LQ-Groundhog-KPM-G062	Kohl-LQ-Groundhog-KPM-G063	Kohl-LQ-Groundhog-KPM-G064	Kohl-LQ-Groundhog-KPM-G065	Kohl-LQ-Groundhog-KPM-G066	Kohl-LQ-Groundhog-KPM-G067	Kohl-LQ-Groundhog-KPM-G068	Kohl-LQ-Groundhog-KPM-G069	Kohl-LQ-Groundhog-KPM-G070	Kohl-LQ-Groundhog-KPM-G071	Kohl-LQ-Groundhog-KPM-G072	Kohl-LQ-Groundhog-KPM-G073	Kohl-LQ-Groundhog-KPM-G074	Kohl-LQ-Groundhog-KPM-G075	Kohl-LQ-Groundhog-KPM-G076	Kohl-LQ-Groundhog-KPM-G077	Kohl-LQ-Groundhog-KPM-G078	Kohl-LQ-Groundhog-KPM-G079	Kohl-LQ-Groundhog-KPM-G080	Kohl-LQ-Groundhog-KPM-G081	Kohl-LQ-Groundhog-KPM-G082	Kohl-LQ-Groundhog-KPM-G083	Kohl-LQ-Groundhog-KPM-G084	Kohl-LQ-Groundhog-KPM-G085	Kohl-LQ-Groundhog-KPM-G086	Kohl-LQ-Groundhog-KPM-G087	Kohl-LQ-Groundhog-KPM-G088	Kohl-LQ-Groundhog-KPM-G089	Kohl-LQ-Groundhog-KPM-G090	Kohl-LQ-Groundhog-KPM-G091	Kohl-LQ-Groundhog-KPM-G092	Kohl-LQ-Groundhog-KPM-G093	Kohl-LQ-Groundhog-KPM-G094	Kohl-LQ-Groundhog-KPM-G095	Kohl-LQ-Groundhog-KPM-G096	Kohl-LQ-Groundhog-KPM-G097	Kohl-LQ-Groundhog-KPM-G098	Kohl-LQ-Groundhog-KPM-G099	Kohl-LQ-Groundhog-KPM-G100	Kohl-LQ-Groundhog-KPM-G101	Kohl-LQ-Groundhog-KPM-G102	Kohl-LQ-Groundhog-KPM-G103	Kohl-LQ-Groundhog-KPM-G104	Kohl-LQ-Groundhog-KPM-G105	Kohl-LQ-Groundhog-KPM-G106	Kohl-LQ-Groundhog-KPM-G107	Kohl-LQ-Groundhog-KPM-G108	Kohl-LQ-Groundhog-KPM-G109	Kohl-LQ-Groundhog-KPM-G110
d46e2205f0c6ecf67b51f83d111c509c	20197	17893	6	181	11526	21588	20029	19816	9257	5508	9608	12	4668	2211	1440	43	28	50	26334	25375	140424	322	116	29257	31726	12499	11827	17	12215	19724	10820	9263	9024	9881	6209	10	22	13	19369	19441	23677	23010	6178	11206	11954	22	12487	2316	2413	2699	4727	17	4547	128	7828	6999	5744	0	7272	2168	0	0	0	5911	23	4612	5920	7260	6570	30	16	3383	11424	9102	186	11	3898	7099	263	142	8	19	13	12	3198	12554	7620	8137	4230	96	17768	13854	20	8088	10536	9622	219	24521	20440	39	17502	25329	785	19410	30924	36715	32045	32529	14055	68	14801	16472	9863	21320	7698	26374	22745	48723	43562	26002	505	31541	29884	95	22	15025	13744	5975	17500	13054	11693	14002	13861	5255	8620	6474	6116	4973	13257	0	5953	6524	8954	9087	11	9434	6678	5889	5558	9774	4	8990	4857	7492	1738	20627	17	18076	10612	7750	7887	8742	0	8650	14688	0	15590	12538	0	10397	5807	1081	6316	15268	30	0	11448	6961	7145	23	26	10132	15743	26	17	8389	2384	4666	12725	13	8930	6592	38	6703	10271	9520	7300	10948	11	8463	23	35	25	5421	1961	5315	6773	11	7248	6660	13	6223	8344	5	12992	11627	13851	4507	31	311	904	3495	7109	4838	0	7857	16	0	13	31
9908fffab7ed4f3bec44cda2f5084d49	2844	2726	18841	14747	9151	5168	5111	5149	249	0	6	0	0	0	108	2136	1608	4553	34	54	0	18	0	0	0	6026	3431	1231	5939	7088	2095	2702	8004	6254	10385	773	1434	8475	6360	4885	7767	5539	6982	10016	9315	14453	10181	5276	5578	14106	14858	9856	10605	4065	16012	23953	12344	7689	14215	11961	5434	15858	19063	16120	20805	25777	12261	361	59	26	0	0	212	249	0	0	0	216	0	0	0	0	0	0	0	0	1116	896	365	0	17	2325	0	1222	4461	642	0	3494	935	0	1151	0	0	0	18	32	0	0	0	0	10	11	0	204	42	623	2733	1226	2045	804	17	568	1474	54	0	7492	19732	2467	11163	2960	4205	4764	3854	3530	14982	721	2913	21174	8512	0	3429	834	1891	228	0	2947	5148	16944	11578	2624	0	179	4161	15472	1423	15192	19	12668	6374	11857	2926	4068	0	2531	4555	15	133	8402	0	764	3626	602	1174	3951	0	0	652	13788	7739	0	11	7657	3260	27	18	3667	22103	15509	3250	0	471	4269	28	2455	15742	5804	14613	19512	0	2956	0	0	0	4674	22242	15158	16965	0	3332	6704	0	3627	8267	0	461	20360	2829	732	0	146	367	1332	2388	5015	0	2737	536	0	0	20
95fdd816723ca482a5caba10bea171c8	0	0	637	27	15	9	14	0	6791	11652	16610	19537	20007	25333	18488	518	75	378	57	17	25	26352	16120	0	0	885	592	4029	0	0	210	78	446	200	226	2116	3557	1752	13	13	55	47	0	98	75	1672	70	354	375	0	0	1293	146	1959	0	0	45	0	0	0	1082	948	0	16	240	0	0	23005	21348	26528	26587	18478	2229	1649	18	87	511	3130	174	0	6135	28141	882	15222	23068	235	289	99	228	9	5271	108	387	143	369	293	12	272	502	1531	1056	1531	0	1035	0	15	29	24	2811	3478	131	0	1044	59	0	286	193	2081	522	406	13	504	423	0	25	307	4364	412	3077	12594	2251	2444	3571	62	1817	18303	5959	35	481	8936	274	2119	2877	932	7252	8364	9499	2048	21	2592	7103	1362	110	391	26	967	21620	518	660	2889	232	10212	0	5872	4470	11339	3166	9124	5230	10580	6617	9016	3996	418	22903	0	3539	155	79	23	21	2627	3595	11130	31	13646	29	20	140	20111	1920	9280	8726	8660	145	11709	85	70	3949	9575	38	34	40	7458	35	42	162	4371	1748	4321	6248	10943	10243	5834	2446	445	135	145	36	56	897	3984	6761	3394	0	1130	21854	0	1881	358
735cb9abbbc8ff2b5b354be608a3a869	7241	6845	166	8908	5781	7827	7343	5203	126	0	0	0	0	0	0	0	4	0	0	9	16	18	11	170	0	9523	14531	23004	8782	17023	11546	9441	14036	8550	9899	18414	15847	11271	2666	4442	6224	4598	1666	5325	3592	7500	2957	6613	7316	10140	9619	17757	8194	19962	2033	8209	3118	13410	4425	6367	18282	18	6072	4353	101	440	3999	0	9	13	0	0	0	49	0	0	0	0	0	0	0	0	7	0	0	0	113	0	77	0	0	178	5	261	0	67	0	1641	2353	0	1496	0	0	2650	0	0	20	0	1993	0	0	0	0	111	12	1218	2555	49	1374	1034	18	1303	823	122	6	19329	386	9531	1521	79	40	2516	9347	11101	117	238	66	62	55	0	62	1925	5459	986	44	490	473	47	642	2496	4708	596	2058	580	888	187	0	38	9169	137	8527	237	0	2591	3408	3278	2429	381	15	695	232	1561	4260	1210	85	0	461	2252	6433	9	0	559	2883	0	0	229	185	983	309	0	254	1720	54	2047	96	698	3192	806	2701	3100	0	0	0	5030	0	197	139	2348	8262	5367	53	2380	941	935	487	345	1313	5129	0	379	776	2240	2255	3739	0	5931	118	0	0	0
2ef1e51ab1cf99a3c6417b05a060830e	4	0	4391	3867	1672	0	0	0	896	7	13	627	13	3987	1337	16167	23223	34675	0	0	8	2561	1567	0	4	9	0	792	0	0	0	0	0	0	14	2048	2206	4413	0	0	0	13	0	9	0	3493	0	6	10	0	0	943	0	1563	0	0	0	41	0	0	446	3307	0	0	5341	0	0	116	82	573	594	1293	38	41	18809	27022	15	99	23	23322	476	880	44	8914	1730	617	162	351	33	36405	371	61	277	141	190	134	21430	1534	1820	26017	4032	3200	24510	5964	0	7	0	0	3418	6948	5969	3908	3587	0	21944	12	0	5328	20	17	23295	14	15	11	526	0	27	542	363	334	844	639	30	7	46	2222	243	0	69	1113	1151	1283	154	1064	16035	899	283	11	0	424	4600	1056	0	0	0	151	3210	162	0	11	371	1814	0	1008	1133	6615	2525	205	16687	4256	230	1643	2408	200	1324	0	770	25	6	1115	650	287	7	17504	704	3844	0	0	117	1299	652	120	11135	692	0	23	0	0	14704	1466	927	691	888	66	6	0	11	10979	322	30	12441	528	1571	15107	961	0	201	0	1095	956	675	738	9	21	0	20	2906	3253	1300	1600
bdf8a26094624622d68509a87fa75ba7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1339	1626	4776	0	0	0	0	152	0	0	0	0	0	0	102	0	2739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8961	7760	57	0	901	9104	1259	27	2719	0	0	0	17	0	1178	4798	731	12	0	498	3927	9435	7084	2007	40	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4075	0	0	26	2408	0	168	850	0	0	0	0	0	141	0	0	14	0	0	0	0	0	0	682	0	0	0	0	0	0	5784	1972	0	12	28	0	34	0	0	0	666	0	1105	0	0	0	12	0	1124	43	0	165	1498	0	737	24	0	13	107	0	0	116	60	0	0	0	10735	4633	0	0	105	0	0	687	0	130	1143	0	6661	168	0	0	555	0	939	0	0	0	1763	0	0	0	0	2222	1548	0	3991	243	0	693	147	20	0	0	39	111	213	6	1220	0	0	0	0	0	0
9fec7bdd6bd88e710bd69b15692e54a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2740	0	0	0	0	0	0	115	107	0	507	0	1518	0	0	0	0	0	1283	190	6244	0	0	0	0	777	43	0	0	0	0	0	0	2523	649	4889	0	0	0	0	0	0	13744	58	0	12963	2034	0	0	0	0	0	0	0	0	0	0	11103	76	10322	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	15928	0	14983	0	0	0	0	0	0	0	0	0	349	0	0	0
0e96c3d17868d7423123de5323539053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	83	389	2362	2747	5680	5539	3885	0	0	0	0	0	0	0	0	0	0	0	7	7231	7446	1003	667	95	4348	0	4844	927	1804	4691	341	3260	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	4159	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	86	0	0	0	0	0	133	0	0	0	0	0	0
fd44d4cb468fd7dc9b3227867714ed87	0	0	0	0	0	0	0	0	91	483	1118	0	115	0	0	0	0	0	0	0	0	0	0	69	282	137	291	0	247	1663	107	122	62	64	28	0	0	0	0	0	0	0	0	0	0	0	0	18	20	57	40	0	218	0	0	137	0	499	72	103	0	0	0	0	0	0	0	2549	686	36	0	19	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	60	0	0	0	0	50	247	0	1739	400	8	2296	0	0	0	0	0	851	1821	4319	1517	0	0	0	0	265	4	0	0	55	110	212	33	771	405	248	0	0	4998	596	45	810	529	441	3165	15	0	0	3928	921	301	1792	0	1229	0	16	17	0	0	84	17	40	0	0	0	0	13	45	375	0	0	2115	0	0	339	0	0	11	0	801	238	0	0	0	0	78	1276	77	39	51	0	0	49	108	0	12	0	0	0	0	0	216	0	0	918	0	0	2577	84	66	57	0	0	22	6	0	842	1168	0	845	938	5	23	5	0	82	98	47	50	95	5	1157	0	698	0	0	0	0
8bafedeb678c6cb11deef4768047bfc7	0	459	0	0	0	0	0	0	724	536	0	0	942	0	422	0	0	0	4677	4392	16746	0	0	0	0	0	634	0	0	0	787	1396	4852	3481	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	241	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	726	228	0	442	225	0	0	0	614	0	0	458	0	0	0	0	0	0	0	0	0	343	572	0	0	0	383	701	132	0	0	0	0	408	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	156	246	0	0	0	0	0	0	524	500	335	297	0	0	0	0	0	0	131	386	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0
