	shannon_entropy
Kohl-Grounhog-KPM-R001	1.2004116976444628
Kohl-Grounhog-KPM-R002	1.3555486895740485
Kohl-Grounhog-KPM-R003	1.304716547561736
Kohl-Grounhog-KPM-R004	1.5815119887442899
Kohl-Grounhog-KPM-R005	1.8447715923354608
Kohl-Grounhog-KPM-R006	1.3951687231498484
Kohl-Grounhog-KPM-R007	1.3445714729377318
Kohl-Grounhog-KPM-R008	1.2671520604493918
Kohl-Grounhog-KPM-R009	2.356620131556252
Kohl-Grounhog-KPM-R010	1.661047665774996
Kohl-Grounhog-KPM-R011	1.7498136657221597
Kohl-Grounhog-KPM-R012	0.4130726122969293
Kohl-Grounhog-KPM-R013	1.314557236373736
Kohl-Grounhog-KPM-R014	0.9476076271377163
Kohl-Grounhog-KPM-R015	0.8973739947722355
Kohl-Grounhog-KPM-R016	0.6933322426742805
Kohl-Grounhog-KPM-R017	0.36963280992835884
Kohl-Grounhog-KPM-R018	0.6124405073646937
Kohl-Grounhog-KPM-R019	1.013932850497017
Kohl-Grounhog-KPM-R020	1.0823390253432885
Kohl-Grounhog-KPM-R021	0.7409854854724222
Kohl-Grounhog-KPM-R022	1.5990473652202015
Kohl-Grounhog-KPM-R023	1.5421108927296414
Kohl-Grounhog-KPM-R024	0.7675652367870894
Kohl-Grounhog-KPM-R025	0.15371805281624526
Kohl-Grounhog-KPM-R026	1.9723881179162546
Kohl-Grounhog-KPM-R027	1.7213796272802875
Kohl-Grounhog-KPM-R028	1.0919562175564261
Kohl-Grounhog-KPM-R029	1.7291245338582169
Kohl-Grounhog-KPM-R030	1.7264934328202264
Kohl-Grounhog-KPM-R031	2.1461595597018763
Kohl-Grounhog-KPM-R032	2.3595342336404457
Kohl-Grounhog-KPM-R033	2.577201656421187
Kohl-Grounhog-KPM-R034	2.681568985349258
Kohl-Grounhog-KPM-R035	2.5143837652733185
Kohl-Grounhog-KPM-R036	1.3730599428743329
Kohl-Grounhog-KPM-R037	1.678272045701543
Kohl-Grounhog-KPM-R038	1.9730894388946363
Kohl-Grounhog-KPM-R039	1.1920180579391242
Kohl-Grounhog-KPM-R040	1.2540578242194862
Kohl-Grounhog-KPM-R041	1.4544887627661789
Kohl-Grounhog-KPM-R042	1.4343236598101818
Kohl-Grounhog-KPM-R043	2.8615962135779527
Kohl-Grounhog-KPM-R044	2.316850295132432
Kohl-Grounhog-KPM-R045	2.3034557590584566
Kohl-Grounhog-KPM-R046	1.7934218421797774
Kohl-Grounhog-KPM-R047	1.7353015007898653
Kohl-Grounhog-KPM-R048	2.458283786183413
Kohl-Grounhog-KPM-R049	2.399740791838302
Kohl-Grounhog-KPM-R050	1.6624967099885348
Kohl-Grounhog-KPM-R051	1.6716018824925423
Kohl-Grounhog-KPM-R052	1.4549552589851407
Kohl-Grounhog-KPM-R053	2.319618089907961
Kohl-Grounhog-KPM-R054	1.4166267503935386
Kohl-Grounhog-KPM-R055	1.8061135127421082
Kohl-Grounhog-KPM-R056	1.6549453900639888
Kohl-Grounhog-KPM-R057	2.4161236533932398
Kohl-Grounhog-KPM-R058	1.8612959260450617
Kohl-Grounhog-KPM-R059	1.696550345544845
Kohl-Grounhog-KPM-R060	2.154056674341936
Kohl-Grounhog-KPM-R061	1.2543429257427314
Kohl-Grounhog-KPM-R062	1.2780549328902717
Kohl-Grounhog-KPM-R063	0.8206827903760436
Kohl-Grounhog-KPM-R064	1.5803967295187138
Kohl-Grounhog-KPM-R065	1.1105399027637386
Kohl-Grounhog-KPM-R066	0.7323751302472863
Kohl-Grounhog-KPM-R067	1.5922671491227678
Kohl-Grounhog-KPM-R068	1.5655796694517077
Kohl-Grounhog-KPM-R069	1.2062431197019021
Kohl-Grounhog-KPM-R070	0.18370453921016297
Kohl-Grounhog-KPM-R071	0.22233669232191705
Kohl-Grounhog-KPM-R072	1.136538509118062
Kohl-Grounhog-KPM-R073	2.0243543361412133
Kohl-Grounhog-KPM-R074	2.2624785577208524
Kohl-Grounhog-KPM-R075	0.14644150352657245
Kohl-Grounhog-KPM-R076	0.039820636251775544
Kohl-Grounhog-KPM-R077	2.6662632219899587
Kohl-Grounhog-KPM-R078	2.2477598402665873
Kohl-Grounhog-KPM-R079	0.46591857483414134
Kohl-Grounhog-KPM-R080	0.08821336736168724
Kohl-Grounhog-KPM-R081	3.0217954366201245
Kohl-Grounhog-KPM-R082	0.23690307554886103
Kohl-Grounhog-KPM-R083	0.17089892800480203
Kohl-Grounhog-KPM-R084	0.9690138592150997
Kohl-Grounhog-KPM-R085	0.9000157827906112
Kohl-Grounhog-KPM-R086	2.1279129792596474
Kohl-Grounhog-KPM-R087	2.9780760033013456
Kohl-Grounhog-KPM-R088	2.932946429622038
Kohl-Grounhog-KPM-R089	3.1061049141697663
Kohl-Grounhog-KPM-R090	0.0441725563016277
Kohl-Grounhog-KPM-R091	1.7990815718003845
Kohl-Grounhog-KPM-R092	2.414936211345041
Kohl-Grounhog-KPM-R093	2.9630123050260226
Kohl-Grounhog-KPM-R094	2.8549034529916777
Kohl-Grounhog-KPM-R095	2.8227951364401265
Kohl-Grounhog-KPM-R096	3.3740279696815776
Kohl-Grounhog-KPM-R097	0.22963275973918415
Kohl-Grounhog-KPM-R098	1.3047271037165367
Kohl-Grounhog-KPM-R099	1.6233822994771763
Kohl-Grounhog-KPM-R100	0.5147072744940556
Kohl-Grounhog-KPM-R101	2.2491793827784528
Kohl-Grounhog-KPM-R102	1.23924830254141
Kohl-Grounhog-KPM-R103	0.4435627562539296
Kohl-Grounhog-KPM-R104	2.3723266335496067
Kohl-Grounhog-KPM-R105	0.3825158928478545
Kohl-Grounhog-KPM-R106	0.017593696977674413
Kohl-Grounhog-KPM-R107	0.01800642530445308
Kohl-Grounhog-KPM-R108	0.01800642530445308
Kohl-Grounhog-KPM-R109	2.2655775007400396
Kohl-Grounhog-KPM-R110	2.572665623543588
Kohl-Grounhog-KPM-R111	1.7609926829478946
